time,AirTemp,ShortWave,LongWave,RelHum,WindSpeed,Rain,Snow
2023-06-01 00:00,13.66,138.65,369,74.91,3.29,8e-04,0
2023-06-01 01:00,13.85,179.91,349,73.76,2.98,8e-04,0
2023-06-01 02:00,14.04,203.19,349,72.61,2.7,8e-04,0
2023-06-01 03:00,14.23,206.9,349,71.46,2.44,8e-04,0
2023-06-01 04:00,14.13,190.79,349,72.73,2.42,8e-04,0
2023-06-01 05:00,14.03,155.95,349,74,2.4,8e-04,0
2023-06-01 06:00,13.93,104.77,349,75.26,2.39,8e-04,0
2023-06-01 07:00,13.77,40.72,342,75.4,3.13,8e-04,0
2023-06-01 08:00,13.61,0,342,75.54,3.87,8e-04,0
2023-06-01 09:00,13.45,0,342,75.68,4.61,8e-04,0
2023-06-01 10:00,13.44,0,342,75.01,3.95,8e-04,0
2023-06-01 11:00,13.44,0,342,74.34,3.5,8e-04,0
2023-06-01 12:00,13.43,0,342,73.67,3.34,8e-04,0
2023-06-01 13:00,13.19,0,326.55,75.22,3.63,8e-04,0
2023-06-01 14:00,12.94,0,326.55,76.77,3.95,8e-04,0
2023-06-01 15:00,12.7,0,326.55,78.31,4.3,8e-04,0
2023-06-01 16:00,12.66,0,326.55,78.9,4.28,8e-04,0
2023-06-01 17:00,12.61,0,326.55,79.48,4.4,8e-04,0
2023-06-01 18:00,12.57,0,326.55,80.06,4.63,8e-04,0
2023-06-01 19:00,12.56,0,330.67,81.07,5.21,8e-04,0
2023-06-01 20:00,12.55,0,330.67,82.08,5.82,8e-04,0
2023-06-01 21:00,12.53,0,330.67,83.09,6.44,8e-04,0
2023-06-01 22:00,13.14,13.7,330.67,79.75,6.75,8e-04,0
2023-06-01 23:00,13.74,81.41,330.67,76.4,7.11,8e-04,0
2023-06-02 00:00,14.34,186.15,330.67,73.05,7.51,8e-04,0
2023-06-02 01:00,15.43,241.88,353.46,69.79,6.85,8e-04,0
2023-06-02 02:00,16.52,273.36,353.46,66.52,6.19,8e-04,0
2023-06-02 03:00,17.61,278.43,353.46,63.25,5.53,8e-04,0
2023-06-02 04:00,17.72,256.76,353.46,63.65,5.81,8e-04,0
2023-06-02 05:00,17.83,209.81,353.46,64.06,6.08,8e-04,0
2023-06-02 06:00,17.94,140.8,353.46,64.46,6.35,8e-04,0
2023-06-02 07:00,17.36,54.41,334,67.27,6.56,8e-04,0
2023-06-02 08:00,16.78,0,334,70.09,6.97,8e-04,0
2023-06-02 09:00,16.2,0,334,72.9,7.56,8e-04,0
2023-06-02 10:00,15.53,0,334,75.74,7.08,8e-04,0
2023-06-02 11:00,14.87,0,334,78.57,6.68,8e-04,0
2023-06-02 12:00,14.2,0,334,81.41,6.36,8e-04,0
2023-06-02 13:00,14.22,0,319,79.99,6.51,8e-04,0
2023-06-02 14:00,14.25,0,319,78.57,6.66,8e-04,0
2023-06-02 15:00,14.27,0,319,77.15,6.82,8e-04,0
2023-06-02 16:00,13.72,0,319,79.07,6.48,8e-04,0
2023-06-02 17:00,13.17,0,319,80.99,6.14,8e-04,0
2023-06-02 18:00,12.63,0,319,82.9,5.8,8e-04,0
2023-06-02 19:00,12.52,0,312,83.06,5.56,8e-04,0
2023-06-02 20:00,12.41,0,312,83.22,5.34,8e-04,0
2023-06-02 21:00,12.31,0,312,83.39,5.13,8e-04,0
2023-06-02 22:00,13.01,17.5,312,80.31,5.59,8e-04,0
2023-06-02 23:00,13.72,108.9,312,77.23,6.06,8e-04,0
2023-06-03 00:00,14.42,283.87,312,74.16,6.53,8e-04,0
2023-06-03 01:00,15.51,369.36,313.92,70.09,6.43,8e-04,0
2023-06-03 02:00,16.61,417.7,313.92,66.02,6.34,8e-04,0
2023-06-03 03:00,17.7,425.58,313.92,61.95,6.26,8e-04,0
2023-06-03 04:00,18.15,392.47,313.92,59.14,5.78,8e-04,0
2023-06-03 05:00,18.61,320.63,313.92,56.33,5.32,8e-04,0
2023-06-03 06:00,19.06,214.95,313.92,53.52,4.88,8e-04,0
2023-06-03 07:00,18.28,82.63,323,56.28,4.86,8e-04,0
2023-06-03 08:00,17.49,0,323,59.05,4.84,8e-04,0
2023-06-03 09:00,16.71,0,323,61.82,4.82,8e-04,0
2023-06-03 10:00,16.4,0,323,65.2,5.4,8e-04,0
2023-06-03 11:00,16.09,0,323,68.57,5.99,8e-04,0
2023-06-03 12:00,15.78,0,323,71.95,6.58,8e-04,0
2023-06-03 13:00,15.55,0,324,74.05,6.57,8e-04,0
2023-06-03 14:00,15.32,0,324,76.16,6.56,8e-04,0
2023-06-03 15:00,15.1,0,324,78.26,6.56,8e-04,0
2023-06-03 16:00,14.78,0,324,79.32,6.76,8e-04,0
2023-06-03 17:00,14.46,0,324,80.39,6.98,8e-04,0
2023-06-03 18:00,14.14,0,324,81.45,7.23,8e-04,0
2023-06-03 19:00,14.09,0,312.52,81.05,7.37,8e-04,0
2023-06-03 20:00,14.04,0,312.52,80.65,7.53,8e-04,0
