time,FLOW
2023-07-01,397.3858
2023-07-02,392.635
2023-07-03,330.9606
2023-07-04,230.5646
2023-07-05,59.1532
2023-07-06,68.2595
2023-07-07,3.2202
2023-07-08,50.0822
2023-07-09,263.9726
2023-07-10,395.5082
2023-07-11,414.1403
2023-07-12,390.9685
2023-07-13,279.5063
2023-07-14,289.1796
2023-07-15,389.623
2023-07-16,411.9615
2023-07-17,355.5018
2023-07-18,520.9651
2023-07-19,318.6128
2023-07-20,305.8189
2023-07-21,356.5147
2023-07-22,390.4434
2023-07-23,479.5979
2023-07-24,511.2948
2023-07-25,549.7326
2023-07-26,567.046
2023-07-27,382.3153
2023-07-28,238.2384
2023-07-29,218.2321
2023-07-30,264.612
2023-07-31,341.2193
2023-08-01,434.3368
2023-08-02,476.1225
2023-08-03,244.4826
2023-08-04,336.2175
2023-08-05,422.9525
2023-08-06,484.0584
2023-08-07,541.3905
2023-08-08,485.5507
2023-08-09,347.8619
2023-08-10,399.8443
2023-08-11,418.3619
2023-08-12,412.4147
2023-08-13,396.904
2023-08-14,419.5769
2023-08-15,375.2591
2023-08-16,261.2238
2023-08-17,122.6089
2023-08-18,253.1799
2023-08-19,352.4742
2023-08-20,449.5568
2023-08-21,405.2916
2023-08-22,504.6418
2023-08-23,561.6969
2023-08-24,558.3886
2023-08-25,535.2566
2023-08-26,537.7668
2023-08-27,561.8685
2023-08-28,427.7698
2023-08-29,307.6645
2023-08-30,377.894
2023-08-31,541.196
2023-09-01,610.1783
2023-09-02,642.9366
2023-09-03,174.206
2023-09-04,88.7766
2023-09-05,349.0943
2023-09-06,184.4461
2023-09-07,0.8042
2023-09-08,420.948
2023-09-09,773.918
2023-09-10,796.5363
2023-09-11,724.8188
2023-09-12,614.9028
2023-09-13,571.3337
2023-09-14,463.3507
2023-09-15,452.1757
2023-09-16,453.0524
2023-09-17,449.6802
2023-09-18,272.2036
2023-09-19,63.3282
2023-09-20,336.0408
2023-09-21,577.7145
2023-09-22,615.1062
2023-09-23,590.5235
2023-09-24,404.2212
2023-09-25,333.0915
2023-09-26,233.7392
2023-09-27,219.7875
2023-09-28,166.7731
2023-09-29,114.8605
2023-09-30,76.7791
2023-10-01,101.4378
2023-10-02,79.8179
2023-10-03,109.2992
2023-10-04,152.5382
2023-10-05,200.3329
2023-10-06,236.5478
2023-10-07,272.9989
2023-10-08,236.6433
2023-10-09,150.4069
2023-10-10,90.5966
2023-10-11,44.0939
2023-10-12,51.5812
2023-10-13,67.3754
2023-10-14,85.0323
2023-10-15,77.3098
2023-10-16,197.6404
2023-10-17,279.7073
2023-10-18,289.0502
2023-10-19,213.1576
2023-10-20,64.8332
2023-10-21,119.6542
2023-10-22,236.5888
2023-10-23,88.2722
2023-10-24,82.0909
2023-10-25,282.905
2023-10-26,351.9054
2023-10-27,265.1675
2023-10-28,206.4555
2023-10-29,117.9635
2023-10-30,139.8471
2023-10-31,219.8608
2023-11-01,329.0085
