datetime	Ten_Meter_Uwind_vector_meterPerSecond	Ten_Meter_Vwind_vector_meterPerSecond	Air_Temperature_celsius	Shortwave_Radiation_Downwelling_wattPerMeterSquared	Vapour_Pressure_milliBar	Longwave_Radiation_Downwelling_wattPerMeterSquared	Precipitation_meterPerHour
0	2.13	0	21.81	0	23.372043	364	0
0.0416666666666667	2	0	21.34	0	23.070575	364	0
0.0833333333333333	1.88	0	20.87	0	22.765046	364	0
0.125	1.75	0	20.41	0	22.469738	358	0
0.166666666666667	1.27	0	20.03	0	22.252872	358	0
0.208333333333333	0.79	0	19.64	0	22.018766	358	0
0.25	0.31	0	19.26	0	21.795114	354	0
0.291666666666667	0.29	0	19.1	0	21.570094	354	0
0.333333333333333	0.26	0	18.93	0	21.33162	354	0
0.375	0.23	0	18.77	0	21.110835	348	0
0.416666666666667	0.18	0	18.58	0	20.955658	348	0
0.458333333333333	0.13	0	18.39	0	20.800834	348	0
0.5	0.07	0	18.2	170	20.646375	348	0
0.541666666666667	0.18	0	19.72	170	20.935268	348	0
0.583333333333333	0.29	0	21.25	170	21.069178	348	0
0.625	0.4	0	22.77	570	20.985785	366	0
0.666666666666667	0.98	0	24.2	570	20.97119	366	0
0.708333333333333	1.56	0	25.63	570	20.764536	366	0
0.75	2.15	0	27.06	480	20.336339	374	0
0.791666666666667	2.2	0	27.08	480	19.564713	374	0
0.833333333333333	2.25	0	27.1	480	18.791246	374	0
0.875	2.3	0	27.12	60	18.012341	364	0
0.916666666666667	2.17	0	25.09	60	19.353992	364	0
0.958333333333333	2.03	0	23.06	60	20.121965	364	0
1	1.9	0	21.03	0	20.42279	350	0
1.04166666666667	1.8	0	20.61	0	20.565013	350	0
1.08333333333333	1.71	0	20.18	0	20.672172	350	0
1.125	1.62	0	19.76	0	20.770651	346	0
1.16666666666667	1.42	0	19.62	0	21.066185	346	0
1.20833333333333	1.21	0	19.49	0	21.368128	346	0
1.25	1.01	0	19.35	0	21.650199	349	0
1.29166666666667	1.03	0	19.22	0	21.515819	349	0
1.33333333333333	1.04	0	19.09	0	21.382023	349	0
1.375	1.06	0	18.97	0	21.262075	347	0
1.41666666666667	0.94	0	19.06	0	21.481066	347	0
1.45833333333333	0.82	0	19.15	0	21.703981	347	0
1.5	0.69	0	19.25	100	21.940065	386	0
1.54166666666667	1.42	0	20.36	100	22.359847	386	0
1.58333333333333	2.14	0	21.48	100	22.728583	386	0
1.625	2.87	0	22.6	440	23.019914	402	0
1.66666666666667	3.49	0	23.96	440	23.059585	402	0
1.70833333333333	4.11	0	25.32	440	22.918091	402	0
1.75	4.73	0	26.68	480	22.572123	377	0
1.79166666666667	4.63	0	26.76	480	21.482894	377	0
1.83333333333333	4.52	0	26.85	480	20.398347	377	0
1.875	4.42	0	26.93	68	19.290299	361	0
1.91666666666667	3.62	0	25.22	68	19.555633	361	0
1.95833333333333	2.83	0	23.51	68	19.565914	361	0
2	2.03	0	21.8	0	19.362921	347	0
2.04166666666667	2.09	0	21.48	0	19.946119	347	0
2.08333333333333	2.15	0	21.15	0	20.488407	347	0
2.125	2.21	0	20.82	0	20.997446	353	0
2.16666666666667	2.12	0	21.2	0	21.455501	353	0
2.20833333333333	2.03	0	21.58	0	21.919401	353	0
2.25	1.93	0	21.96	0	22.394362	388.19	0
2.29166666666667	6.07	0	20.7	0	19.931964	388.19	0
2.33333333333333	10.21	0	19.43	0	17.687423	388.19	0
2.375	14.35	0	18.16	0	15.653971	347.39	0
2.41666666666667	11.32	0	15.95	0	13.487512	347.39	0
2.45833333333333	8.29	0	13.73	0	11.582227	347.39	0
2.5	5.27	0	11.52	180	9.9278051	269	0
2.54166666666667	5.64	0	11.22	180	8.938215	269	0
2.58333333333333	6.01	0	10.92	180	7.9846619	269	0
2.625	6.39	0	10.62	620	7.0636402	263.87	0
2.66666666666667	5.57	0	12.23	620	7.3259142	263.87	0
2.70833333333333	4.75	0	13.83	620	7.5425163	263.87	0
2.75	3.94	0	15.44	520	7.7107365	279.6	0
2.79166666666667	3.83	0	15.11	520	7.6692556	279.6	0
2.83333333333333	3.73	0	14.78	520	7.625699	279.6	0
2.875	3.62	0	14.45	70	7.58016	274.4	0
2.91666666666667	2.63	0	13.01	70	7.6161477	274.4	0
2.95833333333333	1.64	0	11.57	70	7.5782683	274.4	0
3	0.65	0	10.13	0	7.4755294	266.38	0
3.04166666666667	0.37	0	9.66	0	7.3948463	266.38	0
3.08333333333333	0.1	0	9.19	0	7.3110936	266.38	0
3.125	0.18	0	8.73	0	7.229404	263.62	0
3.16666666666667	0.06	0	8.13	0	7.5179812	263.62	0
3.20833333333333	0.3	0	7.54	0	7.7768194	263.62	0
3.25	0.54	0	6.94	0	7.9964966	267	0
3.29166666666667	0.28	0	6.91	0	8.0288353	267	0
3.33333333333333	0.02	0	6.89	0	8.0675397	267	0
3.375	0.24	0	6.86	0	8.0995578	269	0
3.41666666666667	0.09	0	6.65	0	7.8914045	269	0
3.45833333333333	0.07	0	6.45	0	7.6926694	269	0
3.5	0.23	0	6.24	180	7.4925483	280	0
3.54166666666667	0.11	0	8.64	180	8.226697	280	0
3.58333333333333	0.45	0	11.04	180	8.9557821	280	0
3.625	0.78	0	13.44	580	9.6602102	312	0
3.66666666666667	1.58	0	15.83	580	10.660411	312	0
3.70833333333333	2.38	0	18.23	580	11.698972	312	0
3.75	3.18	0	20.62	400	12.747132	345.06	0
3.79166666666667	3.35	0	20.45	400	12.806641	345.06	0
3.83333333333333	3.52	0	20.28	400	12.863347	345.06	0
3.875	3.68	0	20.11	40	12.917294	350.94	0
3.91666666666667	2.89	0	18.47	40	13.794443	350.94	0
3.95833333333333	2.1	0	16.83	40	14.358836	350.94	0
4	1.31	0	15.19	0	14.661246	323.06	0
4.04166666666667	1.33	0	14.62	0	14.706875	323.06	0
4.08333333333333	1.36	0	14.06	0	14.737254	323.06	0
4.125	1.38	0	13.49	0	14.734848	316.94	0
4.16666666666667	1.14	0	13.32	0	14.80038	316.94	0
4.20833333333333	0.9	0	13.15	0	14.862453	316.94	0
4.25	0.66	0	12.99	0	14.930892	355.7	0
4.29166666666667	0.74	0	13.39	0	15.253878	355.7	0
4.33333333333333	0.82	0	13.79	0	15.583783	355.7	0
4.375	0.9	0	14.2	0	15.927856	379	0
4.41666666666667	0.78	0	13.84	0	15.425601	379	0
4.45833333333333	0.66	0	13.49	0	14.946782	379	0
4.5	0.53	0	13.14	60	14.480784	367.17	0
4.54166666666667	0.24	0	14.43	60	14.760891	367.17	0
4.58333333333333	0.06	0	15.72	60	14.968185	367.17	0
4.625	0.36	0	17.01	180	15.088091	384.11	0
4.66666666666667	1.05	0	17.28	180	15.75462	384.11	0
4.70833333333333	1.74	0	17.54	180	16.42868	384.11	0
4.75	2.44	0	17.81	170	17.130955	366	0
4.79166666666667	2.46	0	18.26	170	16.818665	366	0
4.83333333333333	2.48	0	18.71	170	16.470557	366	0
4.875	2.5	0	19.17	70	16.099456	335.89	0
4.91666666666667	2.44	0	18.08	70	15.82866	335.89	0
4.95833333333333	2.38	0	16.99	70	15.516458	335.89	0
5	2.33	0	15.89	0	15.155335	315	0
5.04166666666667	2.13	0	15.19	0	14.863291	315	0
5.08333333333333	1.92	0	14.49	0	14.56406	315	0
5.125	1.72	0	13.79	0	14.258712	303	0
5.16666666666667	1.32	0	13.04	0	13.943291	303	0
5.20833333333333	0.92	0	12.3	0	13.630464	303	0
5.25	0.53	0	11.56	0	13.313502	294	0
5.29166666666667	1.07	0	11.29	0	12.661166	294	0
5.33333333333333	1.62	0	11.03	0	12.035301	294	0
5.375	2.16	0	10.76	0	11.419129	292	0
5.41666666666667	1.9	0	10.49	0	11.544149	292	0
5.45833333333333	1.65	0	10.21	0	11.652818	292	0
5.5	1.39	0	9.93	180	11.752995	293.96	0
5.54166666666667	1.34	0	12.01	180	11.954622	293.96	0
5.58333333333333	1.29	0	14.09	180	11.930185	293.96	0
5.625	1.23	0	16.16	580	11.611504	316.04	0
5.66666666666667	1.39	0	17.78	580	11.836879	316.04	0
5.70833333333333	1.55	0	19.39	580	11.950001	316.04	0
5.75	1.71	0	21.01	500	11.948872	327.05	0
5.79166666666667	2	0	20.88	500	11.831572	327.05	0
5.83333333333333	2.29	0	20.75	500	11.715287	327.05	0
5.875	2.58	0	20.62	60	11.602442	326.95	0
5.91666666666667	2.34	0	19.19	60	12.07352	326.95	0
5.95833333333333	2.09	0	17.77	60	12.37684	326.95	0
6	1.85	0	16.34	0	12.52247	328.06	0
6.04166666666667	1.76	0	16.11	0	12.429923	328.06	0
6.08333333333333	1.67	0	15.87	0	12.329204	328.06	0
6.125	1.58	0	15.64	0	12.236151	372.06	0
6.16666666666667	2.22	0	16.41	0	13.084393	372.06	0
6.20833333333333	2.87	0	17.18	0	13.982895	372.06	0
6.25	3.51	0	17.95	0	14.934176	353	0
6.29166666666667	3.29	0	17.27	0	15.819588	353	0
6.33333333333333	3.06	0	16.6	0	16.612974	353	0
6.375	2.83	0	15.93	0	17.307297	351	0
6.41666666666667	2.37	0	16.15	0	17.798215	351	0
6.45833333333333	1.92	0	16.37	0	18.300977	351	0
6.5	1.46	0	16.59	110	18.813931	374	0
6.54166666666667	1.48	0	17.01	110	18.121613	374	0
6.58333333333333	1.49	0	17.43	110	17.376627	374	0
6.625	1.5	0	17.85	470	16.576933	358	0
6.66666666666667	0.88	0	18.05	470	13.866449	358	0
6.70833333333333	0.26	0	18.24	470	11.077509	358	0
6.75	0.36	0	18.44	520	8.224617	301	0
6.79166666666667	0.51	0	18.82	520	7.9291096	301	0
6.83333333333333	0.66	0	19.21	520	7.6188284	301	0
6.875	0.81	0	19.6	80	7.2901998	293	0
6.91666666666667	1.17	0	17.47	80	7.5920479	293	0
6.95833333333333	1.53	0	15.35	80	7.694242	293	0
7	1.89	0	13.23	0	7.6321386	277.82	0
7.04166666666667	1.94	0	12.5	0	7.5499195	277.82	0
7.08333333333333	1.98	0	11.78	0	7.461584	277.82	0
7.125	2.02	0	11.05	0	7.3583196	274.18	0
7.16666666666667	1.96	0	10.8	0	7.624418	274.18	0
7.20833333333333	1.9	0	10.56	0	7.8860084	274.18	0
7.25	1.84	0	10.31	0	8.1304343	277	0
7.29166666666667	2.06	0	10.18	0	8.0923785	277	0
7.33333333333333	2.27	0	10.06	0	8.0584621	277	0
7.375	2.49	0	9.94	0	8.0245078	281	0
7.41666666666667	2.19	0	10.02	0	8.6457539	281	0
7.45833333333333	1.89	0	10.1	0	9.2746523	281	0
7.5	1.58	0	10.18	180	9.9087812	302	0
7.54166666666667	2.73	0	12.72	180	10.925407	302	0
7.58333333333333	3.87	0	15.26	180	11.939735	302	0
7.625	5.02	0	17.8	580	12.926269	328.7	0
7.66666666666667	4.72	0	19.62	580	13.591014	328.7	0
7.70833333333333	4.42	0	21.43	580	14.196759	328.7	0
7.75	4.13	0	23.25	500	14.742146	343.52	0
7.79166666666667	5.01	0	23.1	500	14.753377	343.52	0
