"depth (m) ","u (m/s)   ","v (m/s)   ","T (°C)   ","S (g/kg)  ","k (J/kg)  ","eps (W/kg)","num (m2/s)","nuh (m2/s)"
0.000000000000000E+00,3.029715555074705E-01,-2.374653780664920E-01,1.445818582787113E+01,2.999999999999865E-06,1.755499095376741E-04,3.526877154433974E-06,1.447152858595063E-03,9.871607206884852E-04
-1.260000000000003E-01,3.029715555074705E-01,-2.374653780664920E-01,1.445818582787113E+01,2.999999999999865E-06,1.755499095376741E-04,2.980166277134890E-06,1.295603443645280E-03,1.208906924480678E-03
-2.519999999999998E-01,2.975795812441595E-01,-2.371372473534349E-01,1.445602879128750E+01,2.999999999999865E-06,1.755499095376741E-04,2.433455399835810E-06,1.144054028695498E-03,1.430653128272869E-03
-3.780000000000001E-01,2.921876069808485E-01,-2.368091166403777E-01,1.445387175470388E+01,2.999999999999865E-06,1.773373064150807E-04,2.088822431073164E-06,1.385755106672738E-03,1.732129929126721E-03
-5.039999999999996E-01,2.883862883524718E-01,-2.363565308715920E-01,1.445242045100482E+01,2.999999999999865E-06,1.791247032924872E-04,1.744189462310521E-06,1.627456184649976E-03,2.033606729980570E-03
-6.299999999999999E-01,2.845849697240950E-01,-2.359039451028063E-01,1.445096914730576E+01,2.999999999999865E-06,1.819687431110352E-04,1.624564181152523E-06,1.808704297894726E-03,2.259677272555744E-03
-7.560000000000002E-01,2.814694524131821E-01,-2.353554859578207E-01,1.444983788594636E+01,2.999999999999864E-06,1.848127829295831E-04,1.504938899994524E-06,1.989952411139475E-03,2.485747815130919E-03
-8.819999999999997E-01,2.783539351022692E-01,-2.348070268128350E-01,1.444870662458696E+01,2.999999999999864E-06,1.882035586855339E-04,1.475278526499294E-06,2.107775626915789E-03,2.633006175149682E-03
-1.008000000000000E+00,2.755263058620879E-01,-2.341507899346522E-01,1.444773384533393E+01,2.999999999999864E-06,1.915943344414847E-04,1.445618153004064E-06,2.225598842692103E-03,2.780264535168446E-03
-1.133999999999999E+00,2.726986766219067E-01,-2.334945530564694E-01,1.444676106608090E+01,2.999999999999864E-06,1.959805834510440E-04,1.469541469064468E-06,2.298044551017143E-03,2.871322159942300E-03
-1.260000000000000E+00,2.699924904358733E-01,-2.327178449793473E-01,1.444588241929831E+01,2.999999999999864E-06,2.003668324606034E-04,1.493464785124873E-06,2.370490259342184E-03,2.962379784716154E-03
-1.386000000000000E+00,2.672863042498397E-01,-2.319411369022252E-01,1.444500377251572E+01,2.999999999999864E-06,2.054328838336032E-04,1.546222815622545E-06,2.415472820418986E-03,3.019207504191991E-03
-1.512000000000000E+00,2.645631788330740E-01,-2.310145650747825E-01,1.444417212185690E+01,2.999999999999864E-06,2.104989352066030E-04,1.598980846120217E-06,2.460455381495788E-03,3.076035223667829E-03
-1.638000000000000E+00,2.618400534163083E-01,-2.300879932473397E-01,1.444334047119808E+01,2.999999999999864E-06,2.162116810905429E-04,1.662761337404166E-06,2.504673215789055E-03,3.131902224309700E-03
-1.764000000000000E+00,2.590665043192933E-01,-2.290034777453061E-01,1.444254583444804E+01,2.999999999999863E-06,2.219244269744828E-04,1.726541828688115E-06,2.548891050082321E-03,3.187769224951571E-03
-1.890000000000000E+00,2.562929552222784E-01,-2.279189622432725E-01,1.444175119769801E+01,2.999999999999863E-06,2.280354643940593E-04,1.789171422724655E-06,2.603854127728589E-03,3.257004783805041E-03
-2.016000000000000E+00,2.534667226442512E-01,-2.266783269013672E-01,1.444099337942783E+01,2.999999999999863E-06,2.341465018136359E-04,1.851801016761196E-06,2.658817205374858E-03,3.326240342658512E-03
