datetime,Air_Temperature_celsius,Shortwave_Radiation_Downwelling_wattPerMeterSquared,Longwave_Radiation_Downwelling_wattPerMeterSquared,Relative_Humidity_percent,Ten_Meter_Elevation_Wind_Speed_meterPerSecond,Precipitation_millimeterPerHour,Snowfall_millimeterPerHour
2022-01-01 00:00,21.65,0,365,90.4,1.64,0,0
2022-01-01 01:00,21.22,0,365,92.13,1.67,0,0
2022-01-01 02:00,20.78,0,365,93.87,1.69,0,0
2022-01-01 03:00,20.35,0,357.09,95.6,1.72,0,0
2022-01-01 04:00,19.98,0,357.09,96.28,1.34,0,0
2022-01-01 05:00,19.61,0,357.09,96.95,0.96,0,0
2022-01-01 06:00,19.24,0,354,97.63,0.58,0,0
2022-01-01 07:00,19.08,0,354,97.63,0.61,0,0
2022-01-01 08:00,18.91,0,354,97.63,0.64,0,0
2022-01-01 09:00,18.75,0,348,97.63,0.67,0,0
2022-01-01 10:00,18.46,0,348,97.62,0.45,0,0
2022-01-01 11:00,18.17,0,348,97.61,0.22,0,0
2022-01-01 12:00,17.87,180,346,97.6,0.01,0,0
2022-01-01 13:00,19.47,180,346,89.58,0.13,0,0
2022-01-01 14:00,21.08,180,346,81.56,0.27,0,0
2022-01-01 15:00,22.68,560,366,73.54,0.41,0,0
2022-01-01 16:00,24.14,560,366,69.07,1,0,0
2022-01-01 17:00,25.61,560,366,64.6,1.6,0,0
2022-01-01 18:00,27.08,450,390.92,60.13,2.19,0,0
2022-01-01 19:00,27,450,390.92,57.59,2.17,0,0
2022-01-01 20:00,26.91,450,390.92,55.06,2.14,0,0
2022-01-01 21:00,26.83,50,363.08,52.52,2.11,0,0
2022-01-01 22:00,24.94,50,363.08,61.17,2.06,0,0
2022-01-01 23:00,23.05,50,363.08,69.82,2,0,0
2022-01-02 00:00,21.17,0,349.65,78.47,1.95,0,0
2022-01-02 01:00,20.73,0,349.65,81.74,1.79,0,0
2022-01-02 02:00,20.29,0,349.65,85,1.63,0,0
2022-01-02 03:00,19.85,0,346.35,88.26,1.48,0,0
2022-01-02 04:00,19.74,0,346.35,90.77,1.45,0,0
2022-01-02 05:00,19.63,0,346.35,93.27,1.42,0,0
2022-01-02 06:00,19.52,0,351.21,95.78,1.39,0,0
2022-01-02 07:00,19.26,0,351.21,96.46,1.28,0,0
2022-01-02 08:00,19,0,351.21,97.13,1.17,0,0
2022-01-02 09:00,18.74,0,344.79,97.8,1.06,0,0
