!datetime	Ten_Meter_Uwind_vector_meterPerSecond	Ten_Meter_Vwind_vector_meterPerSecond	Surface_Level_Barometric_Pressure_pascal	Air_Temperature_celsius	Relative_Humidity_percent	Cloud_Cover_decimalFraction	Shortwave_Radiation_Downwelling_wattPerMeterSquared	Precipitation_meterPerSecond
2022-01-01 00:00:00	2.01	0	101285.52	-10.69	91.58	1	0	6.4805556e-09
2022-01-01 01:00:00	2.06	0	101285.52	-11.17	91.82	1	0	6.4805556e-09
2022-01-01 02:00:00	2.12	0	101285.52	-11.65	92.05	1	0	6.4805556e-09
2022-01-01 03:00:00	2.17	0	101285.52	-12.14	92.28	1	0	6.4805556e-09
2022-01-01 04:00:00	1.3	0	101285.52	-12.46	91.94	1	0	6.4805556e-09
2022-01-01 05:00:00	0.42	0	101285.52	-12.78	91.6	1	0	6.4805556e-09
2022-01-01 06:00:00	0.45	0	101285.52	-13.11	91.25	1	0	6.4805556e-09
2022-01-01 07:00:00	0.17	0	101285.52	-14.01	92.42	1	0	6.4805556e-09
2022-01-01 08:00:00	0.11	0	101285.52	-14.91	93.58	1	0	6.4805556e-09
2022-01-01 09:00:00	0.4	0	101285.52	-15.82	94.75	1	0	6.4805556e-09
2022-01-01 10:00:00	0.73	0	101285.52	-16.17	93.42	1	0	6.4805556e-09
2022-01-01 11:00:00	1.06	0	101285.52	-16.53	92.08	1	0	6.4805556e-09
2022-01-01 12:00:00	1.4	0	101285.52	-16.89	90.75	1	20	6.4805556e-09
2022-01-01 13:00:00	1.11	0	101285.52	-16.89	91.22	1	20	6.4805556e-09
2022-01-01 14:00:00	0.81	0	101285.52	-16.9	91.69	1	20	6.4805556e-09
2022-01-01 15:00:00	0.52	0	101285.52	-16.9	92.17	1	240	6.4805556e-09
2022-01-01 16:00:00	0.02	0	101285.52	-15.45	86.9	1	240	6.4805556e-09
2022-01-01 17:00:00	0.49	0	101285.52	-13.99	81.64	1	240	6.4805556e-09
2022-01-01 18:00:00	1	0	101285.52	-12.54	76.38	1	180	6.4805556e-09
2022-01-01 19:00:00	0.63	0	101285.52	-12.79	79.72	1	180	6.4805556e-09
2022-01-01 20:00:00	0.26	0	101285.52	-13.04	83.05	1	180	6.4805556e-09
2022-01-01 21:00:00	0.1	0	101285.52	-13.28	86.39	1	20	6.4805556e-09
