"Depth [m]","U [m/s]","V [m/s]","T [deg C]","k [J/kg]","eps [W/kg]"
0,0,0,15.97,3e-06,5e-10
-0.125,0,0,15.92,3e-06,5e-10
-0.25,0,0,15.87,3e-06,5e-10
-0.375,0,0,15.63,3e-06,5e-10
-0.5,0,0,15.39,3e-06,5e-10
-0.625,0,0,15.3,3e-06,5e-10
-0.75,0,0,15.22,3e-06,5e-10
-0.875,0,0,15.33,3e-06,5e-10
-1,0,0,15.43,3e-06,5e-10
-1.125,0,0,14.98,3e-06,5e-10
-1.25,0,0,14.53,3e-06,5e-10
-1.375,0,0,14.55,3e-06,5e-10
-1.5,0,0,14.57,3e-06,5e-10
-1.625,0,0,14.92,3e-06,5e-10
-1.75,0,0,15.27,3e-06,5e-10
-1.875,0,0,15.47,3e-06,5e-10
-2,0,0,15.67,3e-06,5e-10
-2.125,0,0,15.87,3e-06,5e-10
-2.25,0,0,16.07,3e-06,5e-10
-2.375,0,0,16.47,3e-06,5e-10
-2.5,0,0,16.88,3e-06,5e-10
-2.625,0,0,16.81,3e-06,5e-10
-2.75,0,0,16.73,3e-06,5e-10
-2.875,0,0,16.48,3e-06,5e-10
-3,0,0,16.22,3e-06,5e-10
-3.125,0,0,15.93,3e-06,5e-10
-3.25,0,0,15.64,3e-06,5e-10
-3.375,0,0,15.75,3e-06,5e-10
-3.5,0,0,15.86,3e-06,5e-10
-3.625,0,0,15.95,3e-06,5e-10
-3.75,0,0,16.04,3e-06,5e-10
-3.875,0,0,15.77,3e-06,5e-10
-4,0,0,15.5,3e-06,5e-10
-4.125,0,0,15.63,3e-06,5e-10
-4.25,0,0,15.77,3e-06,5e-10
-4.375,0,0,15.55,3e-06,5e-10
-4.5,0,0,15.33,3e-06,5e-10
-4.625,0,0,14.91,3e-06,5e-10
-4.75,0,0,14.48,3e-06,5e-10
-4.875,0,0,14.54,3e-06,5e-10
-5,0,0,14.61,3e-06,5e-10
-5.125,0,0,14.65,3e-06,5e-10
-5.25,0,0,14.69,3e-06,5e-10
-5.375,0,0,15.05,3e-06,5e-10
-5.5,0,0,15.42,3e-06,5e-10
-5.625,0,0,15.44,3e-06,5e-10
-5.75,0,0,15.47,3e-06,5e-10
-5.875,0,0,15.41,3e-06,5e-10
-6,0,0,15.35,3e-06,5e-10
-6.125,0,0,15.51,3e-06,5e-10
-6.25,0,0,15.66,3e-06,5e-10
-6.375,0,0,15.67,3e-06,5e-10
-6.5,0,0,15.69,3e-06,5e-10
-6.625,0,0,15.34,3e-06,5e-10
-6.75,0,0,15,3e-06,5e-10
-6.875,0,0,15.01,3e-06,5e-10
-7,0,0,15.02,3e-06,5e-10
-7.125,0,0,14.69,3e-06,5e-10
-7.25,0,0,14.35,3e-06,5e-10
-7.375,0,0,13.64,3e-06,5e-10
-7.5,0,0,12.93,3e-06,5e-10
-7.625,0,0,12.62,3e-06,5e-10
-7.75,0,0,12.3,3e-06,5e-10
-7.875,0,0,12.22,3e-06,5e-10
-8,0,0,12.13,3e-06,5e-10
-8.125,0,0,11.65,3e-06,5e-10
-8.25,0,0,11.17,3e-06,5e-10
-8.375,0,0,10.8,3e-06,5e-10
-8.5,0,0,10.43,3e-06,5e-10
-8.625,0,0,10.48,3e-06,5e-10
-8.75,0,0,10.52,3e-06,5e-10
-8.875,0,0,10.12,3e-06,5e-10
-9,0,0,9.727,3e-06,5e-10
-9.125,0,0,9.687,3e-06,5e-10
-9.25,0,0,9.647,3e-06,5e-10
-9.375,0,0,9.528,3e-06,5e-10
-9.5,0,0,9.409,3e-06,5e-10
-9.625,0,0,9.361,3e-06,5e-10
-9.75,0,0,9.312,3e-06,5e-10
-9.875,0,0,9.152,3e-06,5e-10
-10,0,0,8.993,3e-06,5e-10
-10.12,0,0,8.978,3e-06,5e-10
-10.25,0,0,8.963,3e-06,5e-10
-10.38,0,0,8.84,3e-06,5e-10
-10.5,0,0,8.717,3e-06,5e-10
-10.62,0,0,8.512,3e-06,5e-10
-10.75,0,0,8.307,3e-06,5e-10
-10.88,0,0,8.178,3e-06,5e-10
-11,0,0,8.048,3e-06,5e-10
-11.12,0,0,7.879,3e-06,5e-10
-11.25,0,0,7.711,3e-06,5e-10
-11.38,0,0,7.532,3e-06,5e-10
-11.5,0,0,7.353,3e-06,5e-10
-11.62,0,0,7.164,3e-06,5e-10
-11.75,0,0,6.976,3e-06,5e-10
-11.88,0,0,6.463,3e-06,5e-10
-12,0,0,5.95,3e-06,5e-10
-12.12,0,0,6.043,3e-06,5e-10
-12.25,0,0,6.137,3e-06,5e-10
