datetime	Ten_Meter_Uwind_vector_meterPerSecond	Ten_Meter_Vwind_vector_meterPerSecond	Air_Temperature_celsius	Shortwave_Radiation_Downwelling_wattPerMeterSquared	Vapour_Pressure_milliBar	Longwave_Radiation_Downwelling_wattPerMeterSquared	Precipitation_meterPerHour
-61	2.8	0	8.84	0	6.1382507	265.45	0
-60.9583333333333	2.67	0	8.37	0	6.2022169	265.45	0
-60.9166666666667	2.55	0	7.9	0	6.256441	265.45	0
-60.875	2.43	0	7.43	0	6.2993039	272.82	0
-60.8333333333333	2.5	0	7.22	0	6.0302909	272.82	0
-60.7916666666667	2.58	0	7.01	0	5.7685361	272.82	0
-60.75	2.66	0	6.81	0	5.5157025	269.58	0
-60.7083333333333	2.63	0	6.77	0	5.4038737	269.58	0
-60.6666666666667	2.6	0	6.73	0	5.2935967	269.58	0
-60.625	2.57	0	6.69	0	5.1828994	262.42	0
-60.5833333333333	2.55	0	6.21	0	5.1280022	262.42	0
-60.5416666666667	2.54	0	5.74	0	5.0740397	262.42	0
-60.5	2.52	0	5.26	100	5.0150371	262.75	0
-60.4583333333333	3.16	0	6.92	100	5.0781583	262.75	0
-60.4166666666667	3.8	0	8.58	100	5.0756126	262.75	0
-60.375	4.44	0	10.23	440	4.9872072	273.25	0
-60.3333333333333	4.32	0	12.28	440	5.3492644	273.25	0
-60.2916666666667	4.19	0	14.32	440	5.6946485	273.25	0
-60.25	4.07	0	16.36	340	6.0170333	293.02	0
-60.2083333333333	3.18	0	16.51	340	6.4167355	293.02	0
-60.1666666666667	2.29	0	16.65	340	6.8210376	293.02	0
-60.125	1.4	0	16.8	50	7.2346637	283.02	0
-60.0833333333333	1.2	0	14.94	50	7.5365114	283.02	0
-60.0416666666667	1.01	0	13.09	50	7.6696561	283.02	0
-60	0.81	0	11.23	0	7.6587931	278.76	0
-59.9583333333333	0.25	0	10.84	0	7.7214021	278.76	0
-59.9166666666667	0.32	0	10.45	0	7.7738944	278.76	0
-59.875	0.88	0	10.05	0	7.8127315	279.89	0
-59.8333333333333	0.87	0	9.52	0	7.500411	279.89	0
-59.7916666666667	0.85	0	8.99	0	7.1992762	279.89	0
-59.75	0.84	0	8.46	0	6.9089756	283	0
-59.7083333333333	0.62	0	8.51	0	6.7569171	283	0
-59.6666666666667	0.39	0	8.56	0	6.6048511	283	0
-59.625	0.17	0	8.61	0	6.4505469	280.08	0
-59.5833333333333	0.03	0	8.58	0	6.5088843	280.08	0
-59.5416666666667	0.11	0	8.55	0	6.5680689	280.08	0
