datetime,Air_Temperature_celsius,Shortwave_Radiation_Downwelling_wattPerMeterSquared,Longwave_Radiation_Downwelling_wattPerMeterSquared,Relative_Humidity_percent,Ten_Meter_Elevation_Wind_Speed_meterPerSecond,Precipitation_millimeterPerHour,Snowfall_millimeterPerHour
2022-01-01 00:00,-10.69,0,232,91.58,2.01,0.02333,0
2022-01-01 01:00,-11.17,0,232,91.82,2.06,0.02333,0
2022-01-01 02:00,-11.65,0,232,92.05,2.12,0.02333,0
2022-01-01 03:00,-12.14,0,208,92.28,2.17,0.02333,0
2022-01-01 04:00,-12.46,0,208,91.94,1.3,0.02333,0
2022-01-01 05:00,-12.78,0,208,91.6,0.42,0.02333,0
2022-01-01 06:00,-13.11,0,193,91.25,0.45,0.02333,0
2022-01-01 07:00,-14.01,0,193,92.42,0.17,0.02333,0
2022-01-01 08:00,-14.91,0,193,93.58,0.11,0.02333,0
2022-01-01 09:00,-15.82,0,177,94.75,0.4,0.02333,0
2022-01-01 10:00,-16.17,0,177,93.42,0.73,0.02333,0
2022-01-01 11:00,-16.53,0,177,92.08,1.06,0.02333,0
2022-01-01 12:00,-16.89,20,168.33,90.75,1.4,0.02333,0
2022-01-01 13:00,-16.89,20,168.33,91.22,1.11,0.02333,0
2022-01-01 14:00,-16.9,20,168.33,91.69,0.81,0.02333,0
2022-01-01 15:00,-16.9,240,177.67,92.17,0.52,0.02333,0
2022-01-01 16:00,-15.45,240,177.67,86.9,0.02,0.02333,0
2022-01-01 17:00,-13.99,240,177.67,81.64,0.49,0.02333,0
2022-01-01 18:00,-12.54,180,210,76.38,1,0.02333,0
2022-01-01 19:00,-12.79,180,210,79.72,0.63,0.02333,0
2022-01-01 20:00,-13.04,180,210,83.05,0.26,0.02333,0
2022-01-01 21:00,-13.28,20,224.38,86.39,0.1,0.02333,0
2022-01-01 22:00,-14.53,20,224.38,88.2,0.07,0.02333,0
2022-01-01 23:00,-15.78,20,224.38,90,0.05,0.02333,0
2022-01-02 00:00,-17.02,0,188,91.81,0.02,0.02333,0
2022-01-02 01:00,-17.23,0,188,92.5,0.16,0.02333,0
2022-01-02 02:00,-17.44,0,188,93.2,0.31,0.02333,0
2022-01-02 03:00,-17.64,0,174,93.89,0.46,0.02333,0
2022-01-02 04:00,-17.84,0,174,95.54,1.24,0.02333,0
2022-01-02 05:00,-18.03,0,174,97.18,2.03,0.02333,0
2022-01-02 06:00,-18.22,0,191,98.82,2.82,0.02333,0
2022-01-02 07:00,-17.99,0,191,97.3,2.58,0.02333,0
2022-01-02 08:00,-17.76,0,191,95.77,2.35,0.02333,0
