!datetime	Ten_Meter_Uwind_vector_meterPerSecond	Ten_Meter_Vwind_vector_meterPerSecond	Surface_Level_Barometric_Pressure_pascal	Air_Temperature_celsius	Relative_Humidity_percent	Cloud_Cover_decimalFraction	Shortwave_Radiation_Downwelling_wattPerMeterSquared	Precipitation_meterPerSecond
2022-01-01 00:00:00	1.23	0	101286.95	-10.59	92.66	1	0	6.4805556e-09
2022-01-01 01:00:00	1.43	0	101286.95	-10.96	92.34	1	0	6.4805556e-09
2022-01-01 02:00:00	1.64	0	101286.95	-11.33	92.01	1	0	6.4805556e-09
2022-01-01 03:00:00	1.85	0	101286.95	-11.7	91.69	1	0	6.4805556e-09
2022-01-01 04:00:00	1.21	0	101286.95	-12.24	91.97	1	0	6.4805556e-09
2022-01-01 05:00:00	0.57	0	101286.95	-12.78	92.24	1	0	6.4805556e-09
2022-01-01 06:00:00	0.07	0	101286.95	-13.31	92.52	1	0	6.4805556e-09
2022-01-01 07:00:00	0.24	0	101286.95	-13.88	92.19	1	0	6.4805556e-09
2022-01-01 08:00:00	0.54	0	101286.95	-14.44	91.87	1	0	6.4805556e-09
2022-01-01 09:00:00	0.85	0	101286.95	-15.01	91.54	1	0	6.4805556e-09
2022-01-01 10:00:00	0.9	0	101286.95	-15.51	91.44	1	0	6.4805556e-09
2022-01-01 11:00:00	0.94	0	101286.95	-16.02	91.34	1	0	6.4805556e-09
2022-01-01 12:00:00	0.99	0	101286.95	-16.52	91.24	1	20	6.4805556e-09
2022-01-01 13:00:00	0.52	0	101286.95	-16.44	91.52	1	20	6.4805556e-09
2022-01-01 14:00:00	0.04	0	101286.95	-16.36	91.8	1	20	6.4805556e-09
2022-01-01 15:00:00	0.43	0	101286.95	-16.28	92.08	0.084120694	240	6.4805556e-09
2022-01-01 16:00:00	0.38	0	101286.95	-15.11	86.53	0.13799595	240	6.4805556e-09
2022-01-01 17:00:00	0.34	0	101286.95	-13.94	80.98	0.1918712	240	6.4805556e-09
2022-01-01 18:00:00	0.29	0	101286.95	-12.77	75.43	0.24574645	210	6.4805556e-09
2022-01-01 19:00:00	0.04	0	101286.95	-12.77	77.94	0.29962171	210	6.4805556e-09
2022-01-01 20:00:00	0.38	0	101286.95	-12.77	80.45	0.35349696	210	6.4805556e-09
2022-01-01 21:00:00	0.71	0	101286.95	-12.76	82.96	0.40737221	30	6.4805556e-09
2022-01-01 22:00:00	0.55	0	101286.95	-13.73	85.56	0.46124747	30	6.4805556e-09
2022-01-01 23:00:00	0.39	0	101286.95	-14.7	88.15	0.51512272	30	6.4805556e-09
2022-01-02 00:00:00	0.23	0	101286.95	-15.66	90.75	0.56899797	0	6.4805556e-09
2022-01-02 01:00:00	0.25	0	101286.95	-15.93	92.31	0.62287323	0	6.4805556e-09
2022-01-02 02:00:00	0.28	0	101286.95	-16.19	93.87	0.67674848	0	6.4805556e-09
2022-01-02 03:00:00	0.3	0	101286.95	-16.45	95.43	0.73062373	0	6.4805556e-09
2022-01-02 04:00:00	0.91	0	101286.95	-17.07	96.68	0.78449899	0	6.4805556e-09
2022-01-02 05:00:00	1.53	0	101286.95	-17.69	97.92	0.83837424	0	6.4805556e-09
2022-01-02 06:00:00	2.14	0	101286.95	-18.31	99.16	0.89224949	0	6.4805556e-09
2022-01-02 07:00:00	2.11	0	101286.95	-18.08	98.31	0.94612475	0	6.4805556e-09
2022-01-02 08:00:00	2.09	0	101286.95	-17.85	97.45	1	0	6.4805556e-09
2022-01-02 09:00:00	2.06	0	101286.95	-17.62	96.6	1	0	6.4805556e-09
2022-01-02 10:00:00	2.27	0	101286.95	-17.7	96.17	1	0	6.4805556e-09
2022-01-02 11:00:00	2.48	0	101286.95	-17.78	95.74	1	0	6.4805556e-09
2022-01-02 12:00:00	2.69	0	101286.95	-17.86	95.31	1	20	6.4805556e-09
2022-01-02 13:00:00	2.77	0	101286.95	-17.88	94.21	1	20	6.4805556e-09
2022-01-02 14:00:00	2.85	0	101286.95	-17.9	93.12	1	20	6.4805556e-09
2022-01-02 15:00:00	2.93	0	101286.95	-17.91	92.02	1	280	6.4805556e-09
2022-01-02 16:00:00	3.02	0	101286.95	-16.49	85.61	1	280	6.4805556e-09
2022-01-02 17:00:00	3.11	0	101286.95	-15.07	79.19	1	280	6.4805556e-09
2022-01-02 18:00:00	3.2	0	101286.95	-13.65	72.78	1	270	6.4805556e-09
2022-01-02 19:00:00	3.15	0	101286.95	-13.58	74.06	1	270	6.4805556e-09
2022-01-02 20:00:00	3.09	0	101286.95	-13.5	75.34	1	270	6.4805556e-09
2022-01-02 21:00:00	3.04	0	101286.95	-13.43	76.62	1	32	6.4805556e-09
2022-01-02 22:00:00	2.71	0	101286.95	-15.04	81.93	1	32	6.4805556e-09
2022-01-02 23:00:00	2.38	0	101286.95	-16.66	87.25	1	32	6.4805556e-09
