"Depth [m]","U [m/s]","V [m/s]","T [deg C]","k [J/kg]","eps [W/kg]"
0,0,0,12.97,3e-06,5e-10
-0.1263,0,0,12.96,3e-06,5e-10
-0.2525,0,0,12.95,3e-06,5e-10
-0.3788,0,0,13.28,3e-06,5e-10
-0.505,0,0,13.59,3e-06,5e-10
-0.6312,0,0,13.29,3e-06,5e-10
-0.7575,0,0,13.02,3e-06,5e-10
-0.8837,0,0,12.94,3e-06,5e-10
-1.01,0,0,12.89,3e-06,5e-10
-1.136,0,0,13.14,3e-06,5e-10
-1.262,0,0,13.33,3e-06,5e-10
-1.389,0,0,12.94,3e-06,5e-10
-1.515,0,0,12.59,3e-06,5e-10
-1.641,0,0,12.44,3e-06,5e-10
-1.768,0,0,12.33,3e-06,5e-10
-1.894,0,0,12.51,3e-06,5e-10
-2.02,0,0,12.64,3e-06,5e-10
-2.146,0,0,12.6,3e-06,5e-10
-2.272,0,0,12.55,3e-06,5e-10
-2.399,0,0,12.43,3e-06,5e-10
-2.525,0,0,12.38,3e-06,5e-10
-2.651,0,0,12.55,3e-06,5e-10
-2.778,0,0,12.77,3e-06,5e-10
-2.904,0,0,13.19,3e-06,5e-10
-3.03,0,0,13.48,3e-06,5e-10
-3.156,0,0,13.39,3e-06,5e-10
-3.282,0,0,13.33,3e-06,5e-10
-3.409,0,0,13.33,3e-06,5e-10
-3.535,0,0,13.4,3e-06,5e-10
-3.661,0,0,13.67,3e-06,5e-10
-3.788,0,0,13.88,3e-06,5e-10
-3.914,0,0,13.97,3e-06,5e-10
-4.04,0,0,14.02,3e-06,5e-10
-4.166,0,0,14.02,3e-06,5e-10
-4.292,0,0,14.06,3e-06,5e-10
-4.419,0,0,14.21,3e-06,5e-10
-4.545,0,0,14.29,3e-06,5e-10
-4.671,0,0,14.25,3e-06,5e-10
-4.798,0,0,14.33,3e-06,5e-10
-4.924,0,0,14.62,3e-06,5e-10
-5.05,0,0,14.85,3e-06,5e-10
-5.176,0,0,15,3e-06,5e-10
-5.302,0,0,15.13,3e-06,5e-10
-5.429,0,0,15.21,3e-06,5e-10
-5.555,0,0,15.26,3e-06,5e-10
-5.681,0,0,15.28,3e-06,5e-10
-5.808,0,0,15.34,3e-06,5e-10
-5.934,0,0,15.47,3e-06,5e-10
-6.06,0,0,15.55,3e-06,5e-10
-6.186,0,0,15.59,3e-06,5e-10
-6.312,0,0,15.35,3e-06,5e-10
-6.439,0,0,14.83,3e-06,5e-10
-6.565,0,0,14.36,3e-06,5e-10
-6.691,0,0,13.92,3e-06,5e-10
-6.818,0,0,13.64,3e-06,5e-10
-6.944,0,0,13.49,3e-06,5e-10
-7.07,0,0,13.37,3e-06,5e-10
-7.196,0,0,13.28,3e-06,5e-10
-7.322,0,0,13.28,3e-06,5e-10
-7.449,0,0,13.35,3e-06,5e-10
-7.575,0,0,13.43,3e-06,5e-10
-7.701,0,0,13.52,3e-06,5e-10
-7.828,0,0,13.38,3e-06,5e-10
-7.954,0,0,13.12,3e-06,5e-10
-8.08,0,0,12.85,3e-06,5e-10
-8.206,0,0,12.57,3e-06,5e-10
-8.332,0,0,12.23,3e-06,5e-10
-8.459,0,0,11.84,3e-06,5e-10
-8.585,0,0,11.61,3e-06,5e-10
-8.711,0,0,11.46,3e-06,5e-10
-8.838,0,0,11.55,3e-06,5e-10
-8.964,0,0,11.74,3e-06,5e-10
-9.09,0,0,11.62,3e-06,5e-10
-9.216,0,0,11.37,3e-06,5e-10
-9.342,0,0,11.28,3e-06,5e-10
-9.469,0,0,11.26,3e-06,5e-10
-9.595,0,0,11.41,3e-06,5e-10
-9.721,0,0,11.62,3e-06,5e-10
-9.848,0,0,11.95,3e-06,5e-10
-9.974,0,0,12.31,3e-06,5e-10
-10.1,0,0,12.39,3e-06,5e-10
