datetime	Ten_Meter_Uwind_vector_meterPerSecond	Ten_Meter_Vwind_vector_meterPerSecond	Air_Temperature_celsius	Shortwave_Radiation_Downwelling_wattPerMeterSquared	Vapour_Pressure_milliBar	Longwave_Radiation_Downwelling_wattPerMeterSquared	Precipitation_meterPerHour
0	1.23	0	-10.59	0	2.5268744	238	2.333e-05
0.0416666666666667	1.43	0	-10.96	0	2.4448249	238	2.333e-05
0.0833333333333333	1.64	0	-11.33	0	2.3649253	238	2.333e-05
0.125	1.85	0	-11.7	0	2.2876345	208	2.333e-05
0.166666666666667	1.21	0	-12.24	0	2.1967555	208	2.333e-05
0.208333333333333	0.57	0	-12.78	0	2.1087963	208	2.333e-05
0.25	0.07	0	-13.31	0	2.0257872	202	2.333e-05
0.291666666666667	0.24	0	-13.88	0	1.9265041	202	2.333e-05
0.333333333333333	0.54	0	-14.44	0	1.8333374	202	2.333e-05
0.375	0.85	0	-15.01	0	1.7426138	182	2.333e-05
0.416666666666667	0.9	0	-15.51	0	1.6698453	182	2.333e-05
0.458333333333333	0.94	0	-16.02	0	1.5984747	182	2.333e-05
0.5	0.99	0	-16.52	20	1.5311385	173	2.333e-05
0.541666666666667	0.52	0	-16.44	20	1.5461985	173	2.333e-05
0.583333333333333	0.04	0	-16.36	20	1.5613843	173	2.333e-05
0.625	0.43	0	-16.28	240	1.5766971	179	2.333e-05
0.666666666666667	0.38	0	-15.11	240	1.6336288	179	2.333e-05
0.708333333333333	0.34	0	-13.94	240	1.6839297	179	2.333e-05
0.75	0.29	0	-12.77	210	1.7258876	198	2.333e-05
0.791666666666667	0.04	0	-12.77	210	1.783318	198	2.333e-05
0.833333333333333	0.38	0	-12.77	210	1.8407485	198	2.333e-05
0.875	0.71	0	-12.76	30	1.8997225	208.38	2.333e-05
0.916666666666667	0.55	0	-13.73	30	1.8100963	208.38	2.333e-05
0.958333333333333	0.39	0	-14.7	30	1.7217217	208.38	2.333e-05
1	0.23	0	-15.66	0	1.6366496	186.06	2.333e-05
1.04166666666667	0.25	0	-15.93	0	1.6276595	186.06	2.333e-05
1.08333333333333	0.28	0	-16.19	0	1.6195245	186.06	2.333e-05
1.125	0.3	0	-16.45	0	1.6109025	179.94	2.333e-05
1.16666666666667	0.91	0	-17.07	0	1.548935	179.94	2.333e-05
1.20833333333333	1.53	0	-17.69	0	1.488511	179.94	2.333e-05
1.25	2.14	0	-18.31	0	1.4297894	176.79	2.333e-05
1.29166666666667	2.11	0	-18.08	0	1.4456405	176.79	2.333e-05
1.33333333333333	2.09	0	-17.85	0	1.4613478	176.79	2.333e-05
1.375	2.06	0	-17.62	0	1.4772031	195.21	2.333e-05
1.41666666666667	2.27	0	-17.7	0	1.460667	195.21	2.333e-05
1.45833333333333	2.48	0	-17.78	0	1.4442799	195.21	2.333e-05
1.5	2.69	0	-17.86	20	1.4280408	167	2.333e-05
1.54166666666667	2.77	0	-17.88	20	1.4091586	167	2.333e-05
1.58333333333333	2.85	0	-17.9	20	1.3904854	167	2.333e-05
1.625	2.93	0	-17.91	280	1.3728906	159	2.333e-05
1.66666666666667	3.02	0	-16.49	280	1.4402867	159	2.333e-05
1.70833333333333	3.11	0	-15.07	280	1.5000262	159	2.333e-05
1.75	3.2	0	-13.65	270	1.5498532	169	2.333e-05
1.79166666666667	3.15	0	-13.58	270	1.5861791	169	2.333e-05
1.83333333333333	3.09	0	-13.5	270	1.6241941	169	2.333e-05
1.875	3.04	0	-13.43	32	1.6612734	165	2.333e-05
1.91666666666667	2.71	0	-15.04	32	1.5557953	165	2.333e-05
1.95833333333333	2.38	0	-16.66	32	1.4470365	165	2.333e-05
2	2.05	0	-18.27	0	1.339193	168	2.333e-05
2.04166666666667	2.03	0	-18.39	0	1.321661	168	2.333e-05
2.08333333333333	2.01	0	-18.5	0	1.3055918	168	2.333e-05
2.125	1.99	0	-18.61	0	1.2895548	164	2.333e-05
2.16666666666667	2.33	0	-19.04	0	1.235364	164	2.333e-05
2.20833333333333	2.67	0	-19.47	0	1.1831044	164	2.333e-05
2.25	3.01	0	-19.9	0	1.1329719	173.06	2.333e-05
2.29166666666667	2.76	0	-19.51	0	1.145337	173.06	2.333e-05
2.33333333333333	2.51	0	-19.12	0	1.1572105	173.06	2.333e-05
2.375	2.25	0	-18.73	0	1.1682768	176.94	2.333e-05
2.41666666666667	2.04	0	-18.33	0	1.1953101	176.94	2.333e-05
2.45833333333333	1.82	0	-17.93	0	1.2226561	176.94	2.333e-05
2.5	1.61	0	-17.53	20	1.250305	181	2.333e-05
2.54166666666667	2.34	0	-16.73	20	1.3241088	181	2.333e-05
2.58333333333333	3.08	0	-15.94	20	1.4004387	181	2.333e-05
2.625	3.82	0	-15.15	260	1.4801247	195	2.333e-05
2.66666666666667	4.45	0	-13.23	260	1.7402125	195	2.333e-05
2.70833333333333	5.08	0	-11.31	260	2.0402281	195	2.333e-05
2.75	5.72	0	-9.39	250	2.3856806	211	2.333e-05
2.79166666666667	5.3	0	-8.97	250	2.5530248	211	2.333e-05
2.83333333333333	4.89	0	-8.56	250	2.7267788	211	2.333e-05
2.875	4.47	0	-8.14	24	2.9107706	219	2.333e-05
2.91666666666667	3.82	0	-8.75	24	2.8580569	219	2.333e-05
2.95833333333333	3.17	0	-9.36	24	2.8029168	219	2.333e-05
3	2.51	0	-9.96	0	2.7484273	203	2.333e-05
3.04166666666667	2.11	0	-10.52	0	2.6358966	203	2.333e-05
3.08333333333333	1.72	0	-11.07	0	2.5294224	203	2.333e-05
3.125	1.32	0	-11.63	0	2.4247598	195	2.333e-05
3.16666666666667	0.53	0	-12.17	0	2.3365407	195	2.333e-05
3.20833333333333	0.26	0	-12.7	0	2.2530248	195	2.333e-05
3.25	1.05	0	-13.23	0	2.1717394	212	2.333e-05
3.29166666666667	1.54	0	-12.45	0	2.2930942	212	2.333e-05
3.33333333333333	2.04	0	-11.68	0	2.4180199	212	2.333e-05
3.375	2.53	0	-10.9	0	2.5507616	218	2.333e-05
3.41666666666667	2.64	0	-10.97	0	2.5373148	218	2.333e-05
3.45833333333333	2.75	0	-11.05	0	2.5219101	218	2.333e-05
3.5	2.86	0	-11.12	20	2.5088577	219.19	2.333e-05
3.54166666666667	2.96	0	-10.55	20	2.6003295	219.19	2.333e-05
3.58333333333333	3.06	0	-9.99	20	2.6921268	219.19	2.333e-05
3.625	3.16	0	-9.42	160	2.7884826	242.81	2.333e-05
3.66666666666667	2.85	0	-7.98	160	3.041452	242.81	2.333e-05
3.70833333333333	2.54	0	-6.53	160	3.3125573	242.81	2.333e-05
3.75	2.24	0	-5.09	170	3.5973584	252.06	2.333e-05
3.79166666666667	2.43	0	-4.67	170	3.7440677	252.06	2.333e-05
3.83333333333333	2.63	0	-4.25	170	3.8960586	252.06	2.333e-05
3.875	2.83	0	-3.83	10	4.0534962	273.94	2.333e-05
3.91666666666667	3.21	0	-4.36	10	3.9828017	273.94	2.333e-05
3.95833333333333	3.59	0	-4.88	10	3.9136852	273.94	2.333e-05
4	3.97	0	-5.4	0	3.8432922	265	2.333e-05
4.04166666666667	3.81	0	-5.41	0	3.859558	265	2.333e-05
4.08333333333333	3.66	0	-5.43	0	3.8728435	265	2.333e-05
