datetime,Air_Temperature_celsius,Shortwave_Radiation_Downwelling_wattPerMeterSquared,Longwave_Radiation_Downwelling_wattPerMeterSquared,Relative_Humidity_percent,Ten_Meter_Elevation_Wind_Speed_meterPerSecond,Precipitation_millimeterPerHour,Snowfall_millimeterPerHour
2022-01-01 00:00,-10.59,0,238,92.66,1.23,0.02333,0
2022-01-01 01:00,-10.96,0,238,92.34,1.43,0.02333,0
2022-01-01 02:00,-11.33,0,238,92.01,1.64,0.02333,0
2022-01-01 03:00,-11.7,0,208,91.69,1.85,0.02333,0
2022-01-01 04:00,-12.24,0,208,91.97,1.21,0.02333,0
2022-01-01 05:00,-12.78,0,208,92.24,0.57,0.02333,0
2022-01-01 06:00,-13.31,0,202,92.52,0.07,0.02333,0
2022-01-01 07:00,-13.88,0,202,92.19,0.24,0.02333,0
2022-01-01 08:00,-14.44,0,202,91.87,0.54,0.02333,0
2022-01-01 09:00,-15.01,0,182,91.54,0.85,0.02333,0
2022-01-01 10:00,-15.51,0,182,91.44,0.9,0.02333,0
2022-01-01 11:00,-16.02,0,182,91.34,0.94,0.02333,0
2022-01-01 12:00,-16.52,20,173,91.24,0.99,0.02333,0
2022-01-01 13:00,-16.44,20,173,91.52,0.52,0.02333,0
2022-01-01 14:00,-16.36,20,173,91.8,0.04,0.02333,0
2022-01-01 15:00,-16.28,240,179,92.08,0.43,0.02333,0
2022-01-01 16:00,-15.11,240,179,86.53,0.38,0.02333,0
2022-01-01 17:00,-13.94,240,179,80.98,0.34,0.02333,0
2022-01-01 18:00,-12.77,210,198,75.43,0.29,0.02333,0
2022-01-01 19:00,-12.77,210,198,77.94,0.04,0.02333,0
2022-01-01 20:00,-12.77,210,198,80.45,0.38,0.02333,0
2022-01-01 21:00,-12.76,30,208.38,82.96,0.71,0.02333,0
2022-01-01 22:00,-13.73,30,208.38,85.56,0.55,0.02333,0
2022-01-01 23:00,-14.7,30,208.38,88.15,0.39,0.02333,0
2022-01-02 00:00,-15.66,0,186.06,90.75,0.23,0.02333,0
2022-01-02 01:00,-15.93,0,186.06,92.31,0.25,0.02333,0
2022-01-02 02:00,-16.19,0,186.06,93.87,0.28,0.02333,0
2022-01-02 03:00,-16.45,0,179.94,95.43,0.3,0.02333,0
2022-01-02 04:00,-17.07,0,179.94,96.68,0.91,0.02333,0
2022-01-02 05:00,-17.69,0,179.94,97.92,1.53,0.02333,0
2022-01-02 06:00,-18.31,0,176.79,99.16,2.14,0.02333,0
2022-01-02 07:00,-18.08,0,176.79,98.31,2.11,0.02333,0
2022-01-02 08:00,-17.85,0,176.79,97.45,2.09,0.02333,0
2022-01-02 09:00,-17.62,0,195.21,96.6,2.06,0.02333,0
2022-01-02 10:00,-17.7,0,195.21,96.17,2.27,0.02333,0
2022-01-02 11:00,-17.78,0,195.21,95.74,2.48,0.02333,0
2022-01-02 12:00,-17.86,20,167,95.31,2.69,0.02333,0
2022-01-02 13:00,-17.88,20,167,94.21,2.77,0.02333,0
2022-01-02 14:00,-17.9,20,167,93.12,2.85,0.02333,0
2022-01-02 15:00,-17.91,280,159,92.02,2.93,0.02333,0
2022-01-02 16:00,-16.49,280,159,85.61,3.02,0.02333,0
2022-01-02 17:00,-15.07,280,159,79.19,3.11,0.02333,0
2022-01-02 18:00,-13.65,270,169,72.78,3.2,0.02333,0
2022-01-02 19:00,-13.58,270,169,74.06,3.15,0.02333,0
2022-01-02 20:00,-13.5,270,169,75.34,3.09,0.02333,0
2022-01-02 21:00,-13.43,32,165,76.62,3.04,0.02333,0
2022-01-02 22:00,-15.04,32,165,81.93,2.71,0.02333,0
2022-01-02 23:00,-16.66,32,165,87.25,2.38,0.02333,0
2022-01-03 00:00,-18.27,0,168,92.56,2.05,0.02333,0
2022-01-03 01:00,-18.39,0,168,92.29,2.03,0.02333,0
2022-01-03 02:00,-18.5,0,168,92.03,2.01,0.02333,0
2022-01-03 03:00,-18.61,0,164,91.76,1.99,0.02333,0
