!datetime	Ten_Meter_Uwind_vector_meterPerSecond	Ten_Meter_Vwind_vector_meterPerSecond	Surface_Level_Barometric_Pressure_pascal	Air_Temperature_celsius	Relative_Humidity_percent	Cloud_Cover_decimalFraction	Shortwave_Radiation_Downwelling_wattPerMeterSquared	Precipitation_meterPerSecond
2022-01-01 00:00:00	6.13	0	101268.71	-29.55	89.65	1	0	0
2022-01-01 01:00:00	6.03	0	101268.71	-29.21	89.06	1	0	0
2022-01-01 02:00:00	5.93	0	101268.71	-28.87	88.47	1	0	0
2022-01-01 03:00:00	5.83	0	101268.71	-28.53	87.88	1	0	0
2022-01-01 04:00:00	5.84	0	101268.71	-28.97	88.11	1	0	0
2022-01-01 05:00:00	5.86	0	101268.71	-29.41	88.34	1	0	0
2022-01-01 06:00:00	5.88	0	101268.71	-29.85	88.57	1	0	0
2022-01-01 07:00:00	5.89	0	101268.71	-29.95	88.64	1	0	0
2022-01-01 08:00:00	5.91	0	101268.71	-30.05	88.7	1	0	0
2022-01-01 09:00:00	5.92	0	101268.71	-30.15	88.76	1	0	0
2022-01-01 10:00:00	5.58	0	101268.71	-30.38	89.18	1	0	0
2022-01-01 11:00:00	5.24	0	101268.71	-30.61	89.61	1	0	0
2022-01-01 12:00:00	4.91	0	101268.71	-30.85	90.03	1	0	0
2022-01-01 13:00:00	4.75	0	101268.71	-30.42	89.94	1	0	0
2022-01-01 14:00:00	4.58	0	101268.71	-29.99	89.85	1	0	0
2022-01-01 15:00:00	4.42	0	101268.71	-29.56	89.76	0.5247526	240	0
2022-01-01 16:00:00	4.73	0	101268.71	-28.32	89.07	0.55115523	240	0
2022-01-01 17:00:00	5.03	0	101268.71	-27.07	88.37	0.57755786	240	0
2022-01-01 18:00:00	5.33	0	101268.71	-25.83	87.68	0.6039605	330	0
2022-01-01 19:00:00	5.01	0	101268.71	-25.33	88.2	0.63036313	330	0
2022-01-01 20:00:00	4.7	0	101268.71	-24.83	88.72	0.65676576	330	0
2022-01-01 21:00:00	4.38	0	101268.71	-24.33	89.23	0.6831684	70	0
2022-01-01 22:00:00	4.16	0	101268.71	-25.46	90.17	0.70957103	70	0
2022-01-01 23:00:00	3.94	0	101268.71	-26.59	91.11	0.73597367	70	0
2022-01-02 00:00:00	3.72	0	101268.71	-27.71	92.04	0.7623763	0	0
2022-01-02 01:00:00	3.62	0	101268.71	-27.3	90.56	0.78877893	0	0
2022-01-02 02:00:00	3.52	0	101268.71	-26.89	89.07	0.81518157	0	0
2022-01-02 03:00:00	3.42	0	101268.71	-26.49	87.58	0.8415842	0	0
2022-01-02 04:00:00	3.45	0	101268.71	-26.48	88.73	0.86798683	0	0
2022-01-02 05:00:00	3.47	0	101268.71	-26.48	89.88	0.89438947	0	0
2022-01-02 06:00:00	3.5	0	101268.71	-26.48	91.03	0.9207921	0	0
2022-01-02 07:00:00	3.03	0	101268.71	-25.31	89.1	0.94719473	0	0
2022-01-02 08:00:00	2.57	0	101268.71	-24.13	87.17	0.97359737	0	0
2022-01-02 09:00:00	2.1	0	101268.71	-22.96	85.24	1	0	0
2022-01-02 10:00:00	2.29	0	101268.71	-22.86	88.44	1	0	0
2022-01-02 11:00:00	2.49	0	101268.71	-22.77	91.63	1	0	0
2022-01-02 12:00:00	2.68	0	101268.71	-22.67	94.83	1	0	0
2022-01-02 13:00:00	2.43	0	101268.71	-21.55	92.71	1	0	0
2022-01-02 14:00:00	2.19	0	101268.71	-20.43	90.59	1	0	0
2022-01-02 15:00:00	1.94	0	101268.71	-19.3	88.48	0.61568853	220	0
2022-01-02 16:00:00	2.47	0	101268.71	-17.45	86.68	0.63703917	220	0
2022-01-02 17:00:00	3	0	101268.71	-15.59	84.88	0.65838981	220	0
2022-01-02 18:00:00	3.53	0	101268.71	-13.73	83.08	0.67974044	270	0
2022-01-02 19:00:00	3.72	0	101268.71	-12.82	82.82	0.70109108	270	0
2022-01-02 20:00:00	3.9	0	101268.71	-11.91	82.55	0.72244172	270	0
2022-01-02 21:00:00	4.08	0	101268.71	-10.99	82.29	0.74379235	52	0
2022-01-02 22:00:00	4.19	0	101268.71	-11.64	83.68	0.76514299	52	0
2022-01-02 23:00:00	4.31	0	101268.71	-12.29	85.07	0.78649363	52	0
2022-01-03 00:00:00	4.42	0	101268.71	-12.93	86.46	0.80784427	0	0
2022-01-03 01:00:00	5.64	0	101268.71	-10.99	84.67	0.8291949	0	0
2022-01-03 02:00:00	6.86	0	101268.71	-9.05	82.89	0.85054554	0	0
2022-01-03 03:00:00	8.07	0	101268.71	-7.1	81.11	0.87189618	0	0
2022-01-03 04:00:00	7.91	0	101268.71	-7.15	81.37	0.89324681	0	0
2022-01-03 05:00:00	7.74	0	101268.71	-7.2	81.64	0.91459745	0	0
2022-01-03 06:00:00	7.58	0	101268.71	-7.25	81.91	0.93594809	0	0
2022-01-03 07:00:00	7.39	0	101268.71	-7.2	82.41	0.95729873	0	0
2022-01-03 08:00:00	7.21	0	101268.71	-7.15	82.91	0.97864936	0	0
2022-01-03 09:00:00	7.02	0	101268.71	-7.09	83.42	1	0	0
2022-01-03 10:00:00	6.18	0	101268.71	-7.64	85.55	1	0	0
2022-01-03 11:00:00	5.34	0	101268.71	-8.19	87.68	1	0	0
