"Depth [m]","U [m/s]","V [m/s]","T [deg C]","k [J/kg]","eps [W/kg]"
0,0,0,12.25,3e-06,5e-10
-0.1281,0,0,12.49,3e-06,5e-10
-0.2562,0,0,12.71,3e-06,5e-10
-0.3844,0,0,12.58,3e-06,5e-10
-0.5125,0,0,12.44,3e-06,5e-10
-0.6406,0,0,12.25,3e-06,5e-10
-0.7687,0,0,12.09,3e-06,5e-10
-0.8969,0,0,12.02,3e-06,5e-10
-1.025,0,0,11.98,3e-06,5e-10
-1.153,0,0,12.06,3e-06,5e-10
-1.281,0,0,12.11,3e-06,5e-10
-1.409,0,0,12.09,3e-06,5e-10
-1.538,0,0,12.08,3e-06,5e-10
-1.666,0,0,12.08,3e-06,5e-10
-1.794,0,0,12.08,3e-06,5e-10
-1.922,0,0,12.11,3e-06,5e-10
-2.05,0,0,12.07,3e-06,5e-10
-2.178,0,0,11.94,3e-06,5e-10
-2.306,0,0,11.77,3e-06,5e-10
-2.434,0,0,11.54,3e-06,5e-10
-2.562,0,0,11.55,3e-06,5e-10
-2.691,0,0,11.78,3e-06,5e-10
-2.819,0,0,11.88,3e-06,5e-10
-2.947,0,0,11.84,3e-06,5e-10
-3.075,0,0,11.97,3e-06,5e-10
-3.203,0,0,12.22,3e-06,5e-10
-3.331,0,0,12.29,3e-06,5e-10
-3.459,0,0,12.27,3e-06,5e-10
-3.588,0,0,12.33,3e-06,5e-10
-3.716,0,0,12.42,3e-06,5e-10
-3.844,0,0,12.43,3e-06,5e-10
-3.972,0,0,12.41,3e-06,5e-10
-4.1,0,0,12.4,3e-06,5e-10
