datetime,Air_Temperature_celsius,Shortwave_Radiation_Downwelling_wattPerMeterSquared,Longwave_Radiation_Downwelling_wattPerMeterSquared,Relative_Humidity_percent,Ten_Meter_Elevation_Wind_Speed_meterPerSecond,Precipitation_millimeterPerHour,Snowfall_millimeterPerHour
2022-01-01 00:00,-29.55,0,139,89.65,6.13,0,0
2022-01-01 01:00,-29.21,0,139,89.06,6.03,0,0
2022-01-01 02:00,-28.87,0,139,88.47,5.93,0,0
2022-01-01 03:00,-28.53,0,139,87.88,5.83,0,0
2022-01-01 04:00,-28.97,0,139,88.11,5.84,0,0
2022-01-01 05:00,-29.41,0,139,88.34,5.86,0,0
2022-01-01 06:00,-29.85,0,138,88.57,5.88,0,0
2022-01-01 07:00,-29.95,0,138,88.64,5.89,0,0
2022-01-01 08:00,-30.05,0,138,88.7,5.91,0,0
2022-01-01 09:00,-30.15,0,140,88.76,5.92,0,0
2022-01-01 10:00,-30.38,0,140,89.18,5.58,0,0
2022-01-01 11:00,-30.61,0,140,89.61,5.24,0,0
2022-01-01 12:00,-30.85,0,143,90.03,4.91,0,0
2022-01-01 13:00,-30.42,0,143,89.94,4.75,0,0
2022-01-01 14:00,-29.99,0,143,89.85,4.58,0,0
2022-01-01 15:00,-29.56,240,143,89.76,4.42,0,0
2022-01-01 16:00,-28.32,240,143,89.07,4.73,0,0
2022-01-01 17:00,-27.07,240,143,88.37,5.03,0,0
2022-01-01 18:00,-25.83,330,144.31,87.68,5.33,0,0
2022-01-01 19:00,-25.33,330,144.31,88.2,5.01,0,0
2022-01-01 20:00,-24.83,330,144.31,88.72,4.7,0,0
2022-01-01 21:00,-24.33,70,143.58,89.23,4.38,0,0
2022-01-01 22:00,-25.46,70,143.58,90.17,4.16,0,0
2022-01-01 23:00,-26.59,70,143.58,91.11,3.94,0,0
2022-01-02 00:00,-27.71,0,143,92.04,3.72,0,0
2022-01-02 01:00,-27.3,0,143,90.56,3.62,0,0
2022-01-02 02:00,-26.89,0,143,89.07,3.52,0,0
2022-01-02 03:00,-26.49,0,145,87.58,3.42,0,0
2022-01-02 04:00,-26.48,0,145,88.73,3.45,0,0
2022-01-02 05:00,-26.48,0,145,89.88,3.47,0,0
2022-01-02 06:00,-26.48,0,159,91.03,3.5,0,0
2022-01-02 07:00,-25.31,0,159,89.1,3.03,0,0
2022-01-02 08:00,-24.13,0,159,87.17,2.57,0,0
2022-01-02 09:00,-22.96,0,161,85.24,2.1,0,0
2022-01-02 10:00,-22.86,0,161,88.44,2.29,0,0
2022-01-02 11:00,-22.77,0,161,91.63,2.49,0,0
2022-01-02 12:00,-22.67,0,178,94.83,2.68,0,0
2022-01-02 13:00,-21.55,0,178,92.71,2.43,0,0
2022-01-02 14:00,-20.43,0,178,90.59,2.19,0,0
2022-01-02 15:00,-19.3,220,180,88.48,1.94,0,0
2022-01-02 16:00,-17.45,220,180,86.68,2.47,0,0
2022-01-02 17:00,-15.59,220,180,84.88,3,0,0
2022-01-02 18:00,-13.73,270,210,83.08,3.53,0,0
2022-01-02 19:00,-12.82,270,210,82.82,3.72,0,0
2022-01-02 20:00,-11.91,270,210,82.55,3.9,0,0
2022-01-02 21:00,-10.99,52,214,82.29,4.08,0,0
2022-01-02 22:00,-11.64,52,214,83.68,4.19,0,0
2022-01-02 23:00,-12.29,52,214,85.07,4.31,0,0
2022-01-03 00:00,-12.93,0,198.06,86.46,4.42,0,0
2022-01-03 01:00,-10.99,0,198.06,84.67,5.64,0,0
2022-01-03 02:00,-9.05,0,198.06,82.89,6.86,0,0
2022-01-03 03:00,-7.1,0,202.92,81.11,8.07,0,0
2022-01-03 04:00,-7.15,0,202.92,81.37,7.91,0,0
2022-01-03 05:00,-7.2,0,202.92,81.64,7.74,0,0
2022-01-03 06:00,-7.25,0,205.59,81.91,7.58,0,0
2022-01-03 07:00,-7.2,0,205.59,82.41,7.39,0,0
2022-01-03 08:00,-7.15,0,205.59,82.91,7.21,0,0
2022-01-03 09:00,-7.09,0,222.41,83.42,7.02,0,0
