!datetime	Ten_Meter_Uwind_vector_meterPerSecond	Ten_Meter_Vwind_vector_meterPerSecond	Surface_Level_Barometric_Pressure_pascal	Air_Temperature_celsius	Relative_Humidity_percent	Cloud_Cover_decimalFraction	Shortwave_Radiation_Downwelling_wattPerMeterSquared	Precipitation_meterPerSecond
2022-01-01 00:00:00	5.34	0	101261.39	-30.32	96.07	1	0	0
2022-01-01 01:00:00	5.26	0	101261.39	-29.82	94.26	1	0	0
2022-01-01 02:00:00	5.17	0	101261.39	-29.33	92.44	1	0	0
2022-01-01 03:00:00	5.08	0	101261.39	-28.84	90.63	1	0	0
2022-01-01 04:00:00	5	0	101261.39	-29.67	91.67	1	0	0
2022-01-01 05:00:00	4.92	0	101261.39	-30.5	92.7	1	0	0
2022-01-01 06:00:00	4.83	0	101261.39	-31.33	93.73	1	0	0
2022-01-01 07:00:00	4.99	0	101261.39	-30.8	93.07	1	0	0
2022-01-01 08:00:00	5.15	0	101261.39	-30.27	92.4	1	0	0
2022-01-01 09:00:00	5.3	0	101261.39	-29.74	91.73	1	0	0
2022-01-01 10:00:00	4.9	0	101261.39	-30.72	92.33	1	0	0
2022-01-01 11:00:00	4.49	0	101261.39	-31.7	92.92	1	0	0
2022-01-01 12:00:00	4.09	0	101261.39	-32.68	93.52	1	0	0
2022-01-01 13:00:00	4.02	0	101261.39	-31.87	92.53	1	0	0
2022-01-01 14:00:00	3.95	0	101261.39	-31.05	91.54	1	0	0
2022-01-01 15:00:00	3.88	0	101261.39	-30.24	90.56	0.53099754	240	0
2022-01-01 16:00:00	4.1	0	101261.39	-28.95	89.94	0.55705323	240	0
2022-01-01 17:00:00	4.32	0	101261.39	-27.66	89.32	0.58310892	240	0
2022-01-01 18:00:00	4.54	0	101261.39	-26.38	88.7	0.60916462	340	0
2022-01-01 19:00:00	4.33	0	101261.39	-25.79	89.28	0.63522031	340	0
2022-01-01 20:00:00	4.12	0	101261.39	-25.21	89.86	0.661276	340	0
2022-01-01 21:00:00	3.9	0	101261.39	-24.62	90.44	0.68733169	60	0
2022-01-01 22:00:00	3.62	0	101261.39	-25.44	92.48	0.71338738	60	0
2022-01-01 23:00:00	3.33	0	101261.39	-26.27	94.52	0.73944308	60	0
2022-01-02 00:00:00	3.05	0	101261.39	-27.09	96.56	0.76549877	0	0
2022-01-02 01:00:00	3.2	0	101261.39	-26.41	94.73	0.79155446	0	0
2022-01-02 02:00:00	3.34	0	101261.39	-25.72	92.91	0.81761015	0	0
2022-01-02 03:00:00	3.49	0	101261.39	-25.04	91.08	0.84366585	0	0
2022-01-02 04:00:00	3.36	0	101261.39	-25.64	92.06	0.86972154	0	0
2022-01-02 05:00:00	3.23	0	101261.39	-26.24	93.04	0.89577723	0	0
2022-01-02 06:00:00	3.1	0	101261.39	-26.84	94.02	0.92183292	0	0
2022-01-02 07:00:00	3.01	0	101261.39	-25.71	91.96	0.94788862	0	0
2022-01-02 08:00:00	2.92	0	101261.39	-24.59	89.91	0.97394431	0	0
2022-01-02 09:00:00	2.84	0	101261.39	-23.46	87.86	1	0	0
2022-01-02 10:00:00	3.12	0	101261.39	-22.8	89.59	1	0	0
2022-01-02 11:00:00	3.41	0	101261.39	-22.14	91.33	1	0	0
2022-01-02 12:00:00	3.69	0	101261.39	-21.48	93.06	1	0	0
2022-01-02 13:00:00	3.42	0	101261.39	-20.74	90.75	1	0	0
2022-01-02 14:00:00	3.14	0	101261.39	-20	88.44	1	0	0
2022-01-02 15:00:00	2.86	0	101261.39	-19.26	86.12	0.77121569	180	0
2022-01-02 16:00:00	3.57	0	101261.39	-17.6	84.67	0.78392592	180	0
2022-01-02 17:00:00	4.27	0	101261.39	-15.95	83.23	0.79663616	180	0
