"Depth [m]","U [m/s]","V [m/s]","T [deg C]","k [J/kg]","eps [W/kg]"
0,0,0,10.35,3e-06,5e-10
-0.1281,0,0,10.12,3e-06,5e-10
-0.2562,0,0,9.9,3e-06,5e-10
-0.3844,0,0,9.93,3e-06,5e-10
-0.5125,0,0,9.954,3e-06,5e-10
-0.6406,0,0,9.916,3e-06,5e-10
-0.7687,0,0,9.927,3e-06,5e-10
-0.8969,0,0,10.23,3e-06,5e-10
-1.025,0,0,10.37,3e-06,5e-10
-1.153,0,0,9.882,3e-06,5e-10
-1.281,0,0,9.432,3e-06,5e-10
-1.409,0,0,9.107,3e-06,5e-10
-1.538,0,0,8.951,3e-06,5e-10
-1.666,0,0,9.205,3e-06,5e-10
-1.794,0,0,9.344,3e-06,5e-10
-1.922,0,0,9.262,3e-06,5e-10
-2.05,0,0,9.254,3e-06,5e-10
-2.178,0,0,9.359,3e-06,5e-10
-2.306,0,0,9.551,3e-06,5e-10
-2.434,0,0,9.854,3e-06,5e-10
-2.562,0,0,10.01,3e-06,5e-10
-2.691,0,0,10.01,3e-06,5e-10
-2.819,0,0,10.18,3e-06,5e-10
-2.947,0,0,10.5,3e-06,5e-10
-3.075,0,0,10.5,3e-06,5e-10
-3.203,0,0,10.28,3e-06,5e-10
-3.331,0,0,10.39,3e-06,5e-10
-3.459,0,0,10.7,3e-06,5e-10
-3.588,0,0,10.8,3e-06,5e-10
-3.716,0,0,10.81,3e-06,5e-10
-3.844,0,0,10.89,3e-06,5e-10
-3.972,0,0,11,3e-06,5e-10
-4.1,0,0,11.03,3e-06,5e-10
