datetime,Air_Temperature_celsius,Shortwave_Radiation_Downwelling_wattPerMeterSquared,Longwave_Radiation_Downwelling_wattPerMeterSquared,Relative_Humidity_percent,Ten_Meter_Elevation_Wind_Speed_meterPerSecond,Precipitation_millimeterPerHour,Snowfall_millimeterPerHour
2022-01-01 00:00,-30.32,0,137,96.07,5.34,0,0
2022-01-01 01:00,-29.82,0,137,94.26,5.26,0,0
2022-01-01 02:00,-29.33,0,137,92.44,5.17,0,0
2022-01-01 03:00,-28.84,0,145,90.63,5.08,0,0
2022-01-01 04:00,-29.67,0,145,91.67,5,0,0
2022-01-01 05:00,-30.5,0,145,92.7,4.92,0,0
2022-01-01 06:00,-31.33,0,145,93.73,4.83,0,0
2022-01-01 07:00,-30.8,0,145,93.07,4.99,0,0
2022-01-01 08:00,-30.27,0,145,92.4,5.15,0,0
2022-01-01 09:00,-29.74,0,139,91.73,5.3,0,0
2022-01-01 10:00,-30.72,0,139,92.33,4.9,0,0
2022-01-01 11:00,-31.7,0,139,92.92,4.49,0,0
2022-01-01 12:00,-32.68,0,139,93.52,4.09,0,0
2022-01-01 13:00,-31.87,0,139,92.53,4.02,0,0
2022-01-01 14:00,-31.05,0,139,91.54,3.95,0,0
2022-01-01 15:00,-30.24,240,143,90.56,3.88,0,0
2022-01-01 16:00,-28.95,240,143,89.94,4.1,0,0
2022-01-01 17:00,-27.66,240,143,89.32,4.32,0,0
2022-01-01 18:00,-26.38,340,143,88.7,4.54,0,0
2022-01-01 19:00,-25.79,340,143,89.28,4.33,0,0
2022-01-01 20:00,-25.21,340,143,89.86,4.12,0,0
2022-01-01 21:00,-24.62,60,141.13,90.44,3.9,0,0
2022-01-01 22:00,-25.44,60,141.13,92.48,3.62,0,0
2022-01-01 23:00,-26.27,60,141.13,94.52,3.33,0,0
2022-01-02 00:00,-27.09,0,145,96.56,3.05,0,0
2022-01-02 01:00,-26.41,0,145,94.73,3.2,0,0
2022-01-02 02:00,-25.72,0,145,92.91,3.34,0,0
2022-01-02 03:00,-25.04,0,149.11,91.08,3.49,0,0
2022-01-02 04:00,-25.64,0,149.11,92.06,3.36,0,0
2022-01-02 05:00,-26.24,0,149.11,93.04,3.23,0,0
2022-01-02 06:00,-26.84,0,160,94.02,3.1,0,0
2022-01-02 07:00,-25.71,0,160,91.96,3.01,0,0
2022-01-02 08:00,-24.59,0,160,89.91,2.92,0,0
2022-01-02 09:00,-23.46,0,158,87.86,2.84,0,0
2022-01-02 10:00,-22.8,0,158,89.59,3.12,0,0
2022-01-02 11:00,-22.14,0,158,91.33,3.41,0,0
2022-01-02 12:00,-21.48,0,171.22,93.06,3.69,0,0
2022-01-02 13:00,-20.74,0,171.22,90.75,3.42,0,0
2022-01-02 14:00,-20,0,171.22,88.44,3.14,0,0
2022-01-02 15:00,-19.26,180,194.78,86.12,2.86,0,0
2022-01-02 16:00,-17.6,180,194.78,84.67,3.57,0,0
2022-01-02 17:00,-15.95,180,194.78,83.23,4.27,0,0
2022-01-02 18:00,-14.29,260,221.19,81.78,4.98,0,0
2022-01-02 19:00,-13.11,260,221.19,82.03,5.13,0,0
2022-01-02 20:00,-11.94,260,221.19,82.27,5.29,0,0
2022-01-02 21:00,-10.76,58,202.81,82.52,5.45,0,0
2022-01-02 22:00,-11.17,58,202.81,84.42,5.21,0,0
2022-01-02 23:00,-11.58,58,202.81,86.31,4.98,0,0
2022-01-03 00:00,-11.99,0,199,88.2,4.75,0,0
2022-01-03 01:00,-10.92,0,199,87.24,5.42,0,0
2022-01-03 02:00,-9.85,0,199,86.27,6.09,0,0
2022-01-03 03:00,-8.79,0,201.11,85.3,6.76,0,0
2022-01-03 04:00,-8.55,0,201.11,84.88,7.12,0,0
2022-01-03 05:00,-8.32,0,201.11,84.47,7.48,0,0
2022-01-03 06:00,-8.08,0,200,84.05,7.84,0,0
2022-01-03 07:00,-8.72,0,200,85.08,6.85,0,0
2022-01-03 08:00,-9.37,0,200,86.12,5.87,0,0
2022-01-03 09:00,-10.01,0,200.38,87.15,4.88,0,0
2022-01-03 10:00,-10.77,0,200.38,88.77,4.36,0,0
2022-01-03 11:00,-11.52,0,200.38,90.38,3.84,0,0
2022-01-03 12:00,-12.28,0,225,92,3.32,0,0
2022-01-03 13:00,-11.9,0,225,91.11,2.31,0,0
2022-01-03 14:00,-11.51,0,225,90.22,1.29,0,0
2022-01-03 15:00,-11.13,200,217.43,89.33,0.28,0,0
2022-01-03 16:00,-10.93,200,217.43,90.24,0.52,0,0
2022-01-03 17:00,-10.73,200,217.43,91.15,1.31,0,0
2022-01-03 18:00,-10.54,300,204,92.06,2.1,0,0
2022-01-03 19:00,-10.52,300,204,92.78,2.79,0,0
2022-01-03 20:00,-10.51,300,204,93.51,3.48,0,0
2022-01-03 21:00,-10.49,52,207.36,94.24,4.17,0,0
2022-01-03 22:00,-11.35,52,207.36,95.13,4.73,0,0
2022-01-03 23:00,-12.21,52,207.36,96.01,5.29,0,0
2022-01-04 00:00,-13.07,0,213,96.9,5.85,0,0
2022-01-04 01:00,-13.51,0,213,96.67,6.88,0,0
2022-01-04 02:00,-13.95,0,213,96.44,7.92,0,0
2022-01-04 03:00,-14.4,0,209,96.22,8.95,0,0
2022-01-04 04:00,-15.05,0,209,96.49,8.31,0,0
2022-01-04 05:00,-15.7,0,209,96.77,7.67,0,0
2022-01-04 06:00,-16.35,0,208,97.05,7.03,0,0
2022-01-04 07:00,-16.67,0,208,97.37,6.88,0,0
2022-01-04 08:00,-16.99,0,208,97.69,6.73,0,0
2022-01-04 09:00,-17.31,0,200,98.01,6.59,0,0
2022-01-04 10:00,-16.99,0,200,98.04,6.44,0,0
2022-01-04 11:00,-16.67,0,200,98.07,6.29,0,0
2022-01-04 12:00,-16.36,0,218,98.1,6.14,0,0
2022-01-04 13:00,-16.47,0,218,97.71,5.55,0,0
2022-01-04 14:00,-16.59,0,218,97.33,4.96,0,0
2022-01-04 15:00,-16.71,140,232,96.95,4.36,0,0
2022-01-04 16:00,-15.88,140,232,95.74,2.87,0,0
2022-01-04 17:00,-15.06,140,232,94.53,1.38,0,0
2022-01-04 18:00,-14.23,210,245.06,93.32,0.11,0,0
2022-01-04 19:00,-14.35,210,245.06,93.79,1.72,0,0
2022-01-04 20:00,-14.46,210,245.06,94.27,3.32,0,0
2022-01-04 21:00,-14.57,34,247.06,94.75,4.92,0,0
2022-01-04 22:00,-14.84,34,247.06,94.54,6.26,0,0
2022-01-04 23:00,-15.11,34,247.06,94.33,7.59,0,0
2022-01-05 00:00,-15.37,0,243,94.12,8.92,0,0
2022-01-05 01:00,-15.82,0,243,93.98,8.71,0,0
2022-01-05 02:00,-16.26,0,243,93.83,8.5,0,0
2022-01-05 03:00,-16.71,0,233.43,93.69,8.29,0,0
2022-01-05 04:00,-17.34,0,233.43,93.95,8.34,0,0
2022-01-05 05:00,-17.98,0,233.43,94.22,8.39,0,0
2022-01-05 06:00,-18.61,0,211.26,94.48,8.44,0,0
2022-01-05 07:00,-18.79,0,211.26,94.43,8.45,0,0
2022-01-05 08:00,-18.96,0,211.26,94.39,8.45,0,0
2022-01-05 09:00,-19.14,0,217.43,94.34,8.46,0,0
2022-01-05 10:00,-19.62,0,217.43,94.56,7.66,0,0
2022-01-05 11:00,-20.11,0,217.43,94.78,6.87,0,0
2022-01-05 12:00,-20.59,0,208.44,95,6.07,0,0
2022-01-05 13:00,-20.62,0,208.44,94.26,5.03,0,0
2022-01-05 14:00,-20.64,0,208.44,93.52,3.99,0,0
2022-01-05 15:00,-20.66,160,202.19,92.78,2.95,0,0
2022-01-05 16:00,-20.52,160,202.19,93.08,3.23,0,0
2022-01-05 17:00,-20.38,160,202.19,93.39,3.51,0,0
2022-01-05 18:00,-20.23,250,203,93.69,3.8,0,0
2022-01-05 19:00,-20.3,250,203,93.94,4.07,0,0
2022-01-05 20:00,-20.36,250,203,94.19,4.33,0,0
2022-01-05 21:00,-20.42,50,201,94.43,4.6,0,0
2022-01-05 22:00,-20.77,50,201,94.04,4.81,0,0
2022-01-05 23:00,-21.12,50,201,93.66,5.02,0,0
2022-01-06 00:00,-21.47,0,200,93.27,5.23,0,0
2022-01-06 01:00,-21.67,0,200,93.89,5.06,0,0
2022-01-06 02:00,-21.88,0,200,94.52,4.88,0,0
2022-01-06 03:00,-22.09,0,180,95.14,4.71,0,0
2022-01-06 04:00,-22.33,0,180,94.78,4.95,0,0
2022-01-06 05:00,-22.57,0,180,94.42,5.19,0,0
2022-01-06 06:00,-22.81,0,188,94.05,5.43,0,0
2022-01-06 07:00,-23.41,0,188,94.04,5.55,0,0
2022-01-06 08:00,-24.01,0,188,94.02,5.67,0,0
2022-01-06 09:00,-24.61,0,144,94,5.79,0,0
2022-01-06 10:00,-27.13,0,144,92.83,5.87,0,0
2022-01-06 11:00,-29.65,0,144,91.65,5.95,0,0
2022-01-06 12:00,-32.17,0,137,90.48,6.03,0,0
2022-01-06 13:00,-32.07,0,137,91.94,5.61,0,0
2022-01-06 14:00,-31.96,0,137,93.4,5.2,0,0
2022-01-06 15:00,-31.86,240,135,94.87,4.78,0,0
2022-01-06 16:00,-30.56,240,135,95.03,4.46,0,0
2022-01-06 17:00,-29.27,240,135,95.19,4.13,0,0
2022-01-06 18:00,-27.97,340,139,95.35,3.81,0,0
2022-01-06 19:00,-27.57,340,139,95.13,3.66,0,0
2022-01-06 20:00,-27.16,340,139,94.91,3.52,0,0
2022-01-06 21:00,-26.75,80,136.87,94.69,3.37,0,0
2022-01-06 22:00,-28.09,80,136.87,96.44,2.89,0,0
2022-01-06 23:00,-29.42,80,136.87,98.19,2.41,0,0
2022-01-07 00:00,-30.76,0,141,99.94,1.92,0,0
2022-01-07 01:00,-30.38,0,141,98.84,1.77,0,0
2022-01-07 02:00,-30,0,141,97.74,1.62,0,0
2022-01-07 03:00,-29.62,0,161,96.64,1.46,0,0
2022-01-07 04:00,-29.63,0,161,97.75,0.64,0,0
2022-01-07 05:00,-29.64,0,161,98.86,0.18,0,0
2022-01-07 06:00,-29.65,0,156,99.97,1,0,0
2022-01-07 07:00,-28.85,0,156,98.18,1.44,0,0
2022-01-07 08:00,-28.06,0,156,96.38,1.89,0,0
2022-01-07 09:00,-27.26,0,156.02,94.59,2.33,0,0
2022-01-07 10:00,-27.17,0,156.02,93.48,2.25,0,0
2022-01-07 11:00,-27.08,0,156.02,92.38,2.16,0,0
2022-01-07 12:00,-27,0,185,91.28,2.08,0,0
2022-01-07 13:00,-25.68,0,185,90.3,2.88,0,0
2022-01-07 14:00,-24.37,0,185,89.33,3.69,0,0
