!datetime	Ten_Meter_Uwind_vector_meterPerSecond	Ten_Meter_Vwind_vector_meterPerSecond	Surface_Level_Barometric_Pressure_pascal	Air_Temperature_celsius	Relative_Humidity_percent	Cloud_Cover_decimalFraction	Shortwave_Radiation_Downwelling_wattPerMeterSquared	Precipitation_meterPerSecond
2022-01-01 00:00:00	1.61	0	101324.78	21.48	94.29	1	0	0
2022-01-01 01:00:00	1.54	0	101324.78	21.07	95.3	1	0	0
2022-01-01 02:00:00	1.47	0	101324.77	20.66	96.31	1	0	0
2022-01-01 03:00:00	1.39	0	101324.77	20.25	97.32	1	0	0
2022-01-01 04:00:00	1.08	0	101324.76	19.93	97.28	1	0	0
2022-01-01 05:00:00	0.77	0	101324.76	19.61	97.24	1	0	0
2022-01-01 06:00:00	0.45	0	101324.76	19.28	97.2	1	0	0
2022-01-01 07:00:00	0.43	0	101324.75	19.05	97.32	1	0	0
2022-01-01 08:00:00	0.42	0	101324.75	18.82	97.44	1	0	0
2022-01-01 09:00:00	0.4	0	101324.75	18.59	97.57	1	0	0
2022-01-01 10:00:00	0.36	0	101324.74	18.45	97.73	1	0	0
2022-01-01 11:00:00	0.32	0	101324.74	18.31	97.88	1	0	0
2022-01-01 12:00:00	0.28	0	101324.74	18.17	98.04	1	170	0
2022-01-01 13:00:00	0.53	0	101324.76	19.79	90.24	1	170	0
2022-01-01 14:00:00	0.79	0	101324.78	21.41	82.44	1	170	0
2022-01-01 15:00:00	1.05	0	101324.8	23.03	74.63	1	570	0
2022-01-01 16:00:00	1.51	0	101324.81	24.41	70.1	1	570	0
2022-01-01 17:00:00	1.97	0	101324.82	25.78	65.56	1	570	0
2022-01-01 18:00:00	2.42	0	101324.83	27.15	61.03	1	470	0
2022-01-01 19:00:00	2.34	0	101324.83	27.09	57.93	1	470	0
2022-01-01 20:00:00	2.25	0	101324.83	27.02	54.84	1	470	0
2022-01-01 21:00:00	2.17	0	101324.83	26.95	51.74	1	70	0
2022-01-01 22:00:00	2.02	0	101324.81	24.99	60.88	1	70	0
2022-01-01 23:00:00	1.87	0	101324.8	23.03	70.02	1	70	0
2022-01-02 00:00:00	1.72	0	101324.78	21.06	79.16	1	0	0
2022-01-02 01:00:00	1.95	0	101324.78	20.94	80.05	1	0	0
2022-01-02 02:00:00	2.18	0	101324.77	20.83	80.95	1	0	0
2022-01-02 03:00:00	2.41	0	101324.77	20.71	81.84	1	0	0
2022-01-02 04:00:00	1.95	0	101324.77	20.31	86.68	1	0	0
2022-01-02 05:00:00	1.48	0	101324.76	19.9	91.52	1	0	0
2022-01-02 06:00:00	1.01	0	101324.76	19.5	96.36	1	0	0
2022-01-02 07:00:00	1.03	0	101324.76	19.37	96.45	1	0	0
2022-01-02 08:00:00	1.04	0	101324.76	19.23	96.54	1	0	0
2022-01-02 09:00:00	1.05	0	101324.75	19.09	96.63	1	0	0
2022-01-02 10:00:00	0.81	0	101324.75	18.88	96.82	1	0	0
2022-01-02 11:00:00	0.56	0	101324.75	18.67	97.01	1	0	0
2022-01-02 12:00:00	0.32	0	101324.74	18.45	97.21	1	170	0
2022-01-02 13:00:00	1.31	0	101324.77	20.04	90.73	1	170	0
2022-01-02 14:00:00	2.3	0	101324.78	21.62	84.25	1	170	0
2022-01-02 15:00:00	3.29	0	101324.8	23.2	77.77	1	510	0
2022-01-02 16:00:00	3.72	0	101324.81	24.39	73.6	1	510	0
2022-01-02 17:00:00	4.15	0	101324.82	25.57	69.42	1	510	0
2022-01-02 18:00:00	4.58	0	101324.82	26.75	65.24	1	470	0
2022-01-02 19:00:00	4.53	0	101324.83	26.93	61.73	1	470	0
2022-01-02 20:00:00	4.48	0	101324.83	27.11	58.23	1	470	0
2022-01-02 21:00:00	4.43	0	101324.83	27.29	54.72	1	66	0
2022-01-02 22:00:00	3.67	0	101324.82	25.5	60.97	1	66	0
2022-01-02 23:00:00	2.91	0	101324.8	23.71	67.22	1	66	0
2022-01-03 00:00:00	2.15	0	101324.79	21.92	73.48	1	0	0
