"Depth [m]","U [m/s]","V [m/s]","T [deg C]","k [J/kg]","eps [W/kg]"
0,0,0,22.61,3e-06,5e-10
-0.1292,0,0,22.48,3e-06,5e-10
-0.2583,0,0,22.37,3e-06,5e-10
-0.3875,0,0,22.61,3e-06,5e-10
-0.5167,0,0,22.79,3e-06,5e-10
-0.6458,0,0,22.56,3e-06,5e-10
-0.775,0,0,22.19,3e-06,5e-10
-0.9042,0,0,21.21,3e-06,5e-10
-1.033,0,0,20.45,3e-06,5e-10
-1.162,0,0,20.36,3e-06,5e-10
-1.292,0,0,20.08,3e-06,5e-10
-1.421,0,0,19.4,3e-06,5e-10
-1.55,0,0,18.83,3e-06,5e-10
-1.679,0,0,18.46,3e-06,5e-10
-1.808,0,0,18.33,3e-06,5e-10
-1.938,0,0,18.51,3e-06,5e-10
-2.067,0,0,18.57,3e-06,5e-10
-2.196,0,0,18.53,3e-06,5e-10
-2.325,0,0,18.37,3e-06,5e-10
-2.454,0,0,18.13,3e-06,5e-10
-2.583,0,0,17.98,3e-06,5e-10
-2.712,0,0,17.88,3e-06,5e-10
-2.842,0,0,17.96,3e-06,5e-10
-2.971,0,0,18.11,3e-06,5e-10
-3.1,0,0,18.14,3e-06,5e-10
