datetime	Ten_Meter_Uwind_vector_meterPerSecond	Ten_Meter_Vwind_vector_meterPerSecond	Air_Temperature_celsius	Shortwave_Radiation_Downwelling_wattPerMeterSquared	Vapour_Pressure_milliBar	Longwave_Radiation_Downwelling_wattPerMeterSquared	Precipitation_meterPerHour
0	1.61	0	21.48	0	24.158247	364	0
0.0416666666666667	1.54	0	21.07	0	23.811055	364	0
0.0833333333333333	1.47	0	20.66	0	23.464343	364	0
0.125	1.39	0	20.25	0	23.11828	356	0
0.166666666666667	1.08	0	19.93	0	22.655836	356	0
0.208333333333333	0.77	0	19.61	0	22.201544	356	0
0.25	0.45	0	19.28	0	21.741743	353	0
0.291666666666667	0.43	0	19.05	0	21.458854	353	0
0.333333333333333	0.42	0	18.82	0	21.179069	353	0
0.375	0.4	0	18.59	0	20.904503	345.65	0
0.416666666666667	0.36	0	18.45	0	20.756016	345.65	0
0.458333333333333	0.32	0	18.31	0	20.606225	345.65	0
0.5	0.28	0	18.17	170	20.459358	348	0
0.541666666666667	0.53	0	19.79	170	20.834724	348	0
0.583333333333333	0.79	0	21.41	170	21.031819	348	0
0.625	1.05	0	23.03	570	21.011786	368	0
0.666666666666667	1.51	0	24.41	570	21.444595	368	0
0.708333333333333	1.97	0	25.78	570	21.759742	368	0
0.75	2.42	0	27.15	470	21.958678	382.62	0
0.791666666666667	2.34	0	27.09	470	20.77012	382.62	0
0.833333333333333	2.25	0	27.02	470	19.581689	382.62	0
0.875	2.17	0	26.95	70	18.39905	362.04	0
0.916666666666667	2.02	0	24.99	70	19.280257	362.04	0
0.958333333333333	1.87	0	23.03	70	19.713858	362.04	0
1	1.72	0	21.06	0	19.766278	349	0
1.04166666666667	1.95	0	20.94	0	19.841719	349	0
1.08333333333333	2.18	0	20.83	0	19.929564	349	0
1.125	2.41	0	20.71	0	20.000447	349	0
1.16666666666667	1.95	0	20.31	0	20.667211	349	0
1.20833333333333	1.48	0	19.9	0	21.2748	349	0
1.25	1.01	0	19.5	0	21.850809	349.35	0
1.29166666666667	1.03	0	19.37	0	21.695149	349.35	0
1.33333333333333	1.04	0	19.23	0	21.526993	349.35	0
1.375	1.05	0	19.09	0	21.359918	348.65	0
1.41666666666667	0.81	0	18.88	0	21.123322	348.65	0
1.45833333333333	0.56	0	18.67	0	20.888818	348.65	0
1.5	0.32	0	18.45	170	20.645578	350	0
1.54166666666667	1.31	0	20.04	170	21.274778	350	0
1.58333333333333	2.3	0	21.62	170	21.771508	350	0
1.625	3.29	0	23.2	510	22.121941	386.38	0
1.66666666666667	3.72	0	24.39	510	22.488365	386.38	0
1.70833333333333	4.15	0	25.57	510	22.75594	386.38	0
1.75	4.58	0	26.75	470	22.928802	383	0
1.79166666666667	4.53	0	26.93	470	21.9258	383	0
1.83333333333333	4.48	0	27.11	470	20.902174	383	0
1.875	4.43	0	27.29	66	19.850434	365	0
1.91666666666667	3.67	0	25.5	66	19.9032	365	0
1.95833333333333	2.91	0	23.71	66	19.717851	365	0
2	2.15	0	21.92	0	19.339407	350	0
