datetime,Air_Temperature_celsius,Shortwave_Radiation_Downwelling_wattPerMeterSquared,Longwave_Radiation_Downwelling_wattPerMeterSquared,Relative_Humidity_percent,Ten_Meter_Elevation_Wind_Speed_meterPerSecond,Precipitation_millimeterPerHour,Snowfall_millimeterPerHour
2022-01-01 00:00,21.48,0,364,94.29,1.61,0,0
2022-01-01 01:00,21.07,0,364,95.3,1.54,0,0
2022-01-01 02:00,20.66,0,364,96.31,1.47,0,0
2022-01-01 03:00,20.25,0,356,97.32,1.39,0,0
2022-01-01 04:00,19.93,0,356,97.28,1.08,0,0
2022-01-01 05:00,19.61,0,356,97.24,0.77,0,0
2022-01-01 06:00,19.28,0,353,97.2,0.45,0,0
2022-01-01 07:00,19.05,0,353,97.32,0.43,0,0
2022-01-01 08:00,18.82,0,353,97.44,0.42,0,0
2022-01-01 09:00,18.59,0,345.65,97.57,0.4,0,0
2022-01-01 10:00,18.45,0,345.65,97.73,0.36,0,0
2022-01-01 11:00,18.31,0,345.65,97.88,0.32,0,0
2022-01-01 12:00,18.17,170,348,98.04,0.28,0,0
2022-01-01 13:00,19.79,170,348,90.24,0.53,0,0
2022-01-01 14:00,21.41,170,348,82.44,0.79,0,0
2022-01-01 15:00,23.03,570,368,74.63,1.05,0,0
2022-01-01 16:00,24.41,570,368,70.1,1.51,0,0
2022-01-01 17:00,25.78,570,368,65.56,1.97,0,0
2022-01-01 18:00,27.15,470,382.62,61.03,2.42,0,0
2022-01-01 19:00,27.09,470,382.62,57.93,2.34,0,0
2022-01-01 20:00,27.02,470,382.62,54.84,2.25,0,0
2022-01-01 21:00,26.95,70,362.04,51.74,2.17,0,0
2022-01-01 22:00,24.99,70,362.04,60.88,2.02,0,0
2022-01-01 23:00,23.03,70,362.04,70.02,1.87,0,0
2022-01-02 00:00,21.06,0,349,79.16,1.72,0,0
2022-01-02 01:00,20.94,0,349,80.05,1.95,0,0
2022-01-02 02:00,20.83,0,349,80.95,2.18,0,0
2022-01-02 03:00,20.71,0,349,81.84,2.41,0,0
2022-01-02 04:00,20.31,0,349,86.68,1.95,0,0
2022-01-02 05:00,19.9,0,349,91.52,1.48,0,0
2022-01-02 06:00,19.5,0,349.35,96.36,1.01,0,0
2022-01-02 07:00,19.37,0,349.35,96.45,1.03,0,0
2022-01-02 08:00,19.23,0,349.35,96.54,1.04,0,0
2022-01-02 09:00,19.09,0,348.65,96.63,1.05,0,0
2022-01-02 10:00,18.88,0,348.65,96.82,0.81,0,0
2022-01-02 11:00,18.67,0,348.65,97.01,0.56,0,0
2022-01-02 12:00,18.45,170,350,97.21,0.32,0,0
2022-01-02 13:00,20.04,170,350,90.73,1.31,0,0
2022-01-02 14:00,21.62,170,350,84.25,2.3,0,0
2022-01-02 15:00,23.2,510,386.38,77.77,3.29,0,0
2022-01-02 16:00,24.39,510,386.38,73.6,3.72,0,0
2022-01-02 17:00,25.57,510,386.38,69.42,4.15,0,0
2022-01-02 18:00,26.75,470,383,65.24,4.58,0,0
2022-01-02 19:00,26.93,470,383,61.73,4.53,0,0
2022-01-02 20:00,27.11,470,383,58.23,4.48,0,0
2022-01-02 21:00,27.29,66,365,54.72,4.43,0,0
2022-01-02 22:00,25.5,66,365,60.97,3.67,0,0
2022-01-02 23:00,23.71,66,365,67.22,2.91,0,0
2022-01-03 00:00,21.92,0,350,73.48,2.15,0,0
2022-01-03 01:00,21.64,0,350,77.88,2.19,0,0
2022-01-03 02:00,21.35,0,350,82.28,2.23,0,0
2022-01-03 03:00,21.06,0,358.11,86.68,2.27,0,0
2022-01-03 04:00,21.39,0,358.11,86.48,2.27,0,0
2022-01-03 05:00,21.72,0,358.11,86.29,2.27,0,0
2022-01-03 06:00,22.05,0,390,86.09,2.26,0,0
2022-01-03 07:00,20.77,0,390,82.21,5.73,0,0
2022-01-03 08:00,19.49,0,390,78.32,9.2,0,0
2022-01-03 09:00,18.21,0,352,74.44,12.67,0,0
2022-01-03 10:00,16.27,0,352,73.85,10.24,0,0
2022-01-03 11:00,14.33,0,352,73.25,7.81,0,0
2022-01-03 12:00,12.39,190,274,72.66,5.38,0,0
2022-01-03 13:00,12.67,190,274,65.49,5.97,0,0
2022-01-03 14:00,12.94,190,274,58.33,6.55,0,0
2022-01-03 15:00,13.21,610,274,51.16,7.14,0,0
2022-01-03 16:00,13.8,610,274,47.27,6.36,0,0
2022-01-03 17:00,14.39,610,274,43.37,5.59,0,0
2022-01-03 18:00,14.98,520,279,39.48,4.81,0,0
2022-01-03 19:00,15.01,520,279,41.35,3.98,0,0
2022-01-03 20:00,15.05,520,279,43.23,3.14,0,0
2022-01-03 21:00,15.09,70,281,45.11,2.3,0,0
2022-01-03 22:00,13.45,70,281,50.7,2.1,0,0
2022-01-03 23:00,11.82,70,281,56.3,1.9,0,0
2022-01-04 00:00,10.18,0,266,61.89,1.71,0,0
2022-01-04 01:00,9.74,0,266,62.81,1.09,0,0
2022-01-04 02:00,9.3,0,266,63.73,0.48,0,0
2022-01-04 03:00,8.85,0,264.13,64.65,0.13,0,0
2022-01-04 04:00,8.17,0,264.13,69.07,0.29,0,0
2022-01-04 05:00,7.48,0,264.13,73.48,0.71,0,0
2022-01-04 06:00,6.79,0,268,77.9,1.12,0,0
2022-01-04 07:00,6.8,0,268,78.96,0.76,0,0
2022-01-04 08:00,6.81,0,268,80.02,0.4,0,0
2022-01-04 09:00,6.82,0,272,81.09,0.03,0,0
2022-01-04 10:00,6.72,0,272,82.52,0.13,0,0
2022-01-04 11:00,6.61,0,272,83.95,0.23,0,0
2022-01-04 12:00,6.51,180,282.19,85.38,0.32,0,0
2022-01-04 13:00,8.91,180,282.19,79.55,0.48,0,0
2022-01-04 14:00,11.3,180,282.19,73.72,1.28,0,0
2022-01-04 15:00,13.69,560,313.81,67.89,2.09,0,0
2022-01-04 16:00,15.52,560,313.81,66.23,2.88,0,0
2022-01-04 17:00,17.34,560,313.81,64.58,3.67,0,0
2022-01-04 18:00,19.17,230,365,62.93,4.46,0,0
2022-01-04 19:00,18.96,230,365,64.02,4.16,0,0
2022-01-04 20:00,18.76,230,365,65.11,3.86,0,0
2022-01-04 21:00,18.55,50,347,66.2,3.56,0,0
2022-01-04 22:00,17.34,50,347,73.38,2.65,0,0
2022-01-04 23:00,16.14,50,347,80.57,1.73,0,0
2022-01-05 00:00,14.93,0,323,87.76,0.81,0,0
2022-01-05 01:00,14.42,0,323,90.36,1.11,0,0
2022-01-05 02:00,13.91,0,323,92.96,1.41,0,0
2022-01-05 03:00,13.4,0,311,95.56,1.71,0,0
2022-01-05 04:00,13.19,0,311,96.93,1.49,0,0
2022-01-05 05:00,12.98,0,311,98.29,1.27,0,0
2022-01-05 06:00,12.78,0,314.5,99.66,1.06,0,0
2022-01-05 07:00,12.78,0,314.5,99.32,1.04,0,0
2022-01-05 08:00,12.78,0,314.5,98.98,1.02,0,0
2022-01-05 09:00,12.78,0,322.07,98.64,0.99,0,0
2022-01-05 10:00,12.79,0,322.07,98.19,0.94,0,0
2022-01-05 11:00,12.79,0,322.07,97.74,0.89,0,0
2022-01-05 12:00,12.8,140,332.73,97.28,0.83,0,0
2022-01-05 13:00,14.59,140,332.73,89.51,0.76,0,0
2022-01-05 14:00,16.38,140,332.73,81.73,0.7,0,0
2022-01-05 15:00,18.17,280,386.89,73.96,0.63,0,0
2022-01-05 16:00,18.37,280,386.89,74.59,0.21,0,0
2022-01-05 17:00,18.58,280,386.89,75.22,1.04,0,0
2022-01-05 18:00,18.79,170,366,75.85,1.88,0,0
2022-01-05 19:00,19,170,366,74.43,2.19,0,0
2022-01-05 20:00,19.21,170,366,73.02,2.5,0,0
2022-01-05 21:00,19.42,70,332,71.61,2.81,0,0
2022-01-05 22:00,18.27,70,332,77.65,2.47,0,0
2022-01-05 23:00,17.12,70,332,83.7,2.13,0,0
