"Depth [m]","U [m/s]","V [m/s]","T [deg C]","k [J/kg]","eps [W/kg]"
0,0,0,17.69,3e-06,5e-10
-0.126,0,0,17.87,3e-06,5e-10
-0.252,0,0,18.04,3e-06,5e-10
-0.378,0,0,17.99,3e-06,5e-10
-0.504,0,0,17.95,3e-06,5e-10
-0.63,0,0,18.29,3e-06,5e-10
-0.756,0,0,18.61,3e-06,5e-10
-0.882,0,0,18.48,3e-06,5e-10
-1.008,0,0,18.36,3e-06,5e-10
-1.134,0,0,18.55,3e-06,5e-10
-1.26,0,0,18.73,3e-06,5e-10
-1.386,0,0,18.91,3e-06,5e-10
-1.512,0,0,19.09,3e-06,5e-10
-1.638,0,0,19.2,3e-06,5e-10
-1.764,0,0,19.28,3e-06,5e-10
-1.89,0,0,19.14,3e-06,5e-10
-2.016,0,0,18.94,3e-06,5e-10
-2.142,0,0,18.35,3e-06,5e-10
-2.268,0,0,17.77,3e-06,5e-10
-2.394,0,0,17.22,3e-06,5e-10
-2.52,0,0,16.71,3e-06,5e-10
-2.646,0,0,16.36,3e-06,5e-10
-2.772,0,0,16.07,3e-06,5e-10
-2.898,0,0,16.09,3e-06,5e-10
-3.024,0,0,16.12,3e-06,5e-10
-3.15,0,0,16.23,3e-06,5e-10
-3.276,0,0,16.32,3e-06,5e-10
-3.402,0,0,16.38,3e-06,5e-10
-3.528,0,0,16.28,3e-06,5e-10
-3.654,0,0,15.65,3e-06,5e-10
-3.78,0,0,15.07,3e-06,5e-10
-3.906,0,0,14.71,3e-06,5e-10
-4.032,0,0,14.42,3e-06,5e-10
-4.158,0,0,14.33,3e-06,5e-10
-4.284,0,0,14.28,3e-06,5e-10
-4.41,0,0,14.36,3e-06,5e-10
-4.536,0,0,14.46,3e-06,5e-10
-4.662,0,0,14.63,3e-06,5e-10
-4.788,0,0,14.73,3e-06,5e-10
-4.914,0,0,14.62,3e-06,5e-10
-5.04,0,0,14.64,3e-06,5e-10
-5.166,0,0,14.91,3e-06,5e-10
-5.292,0,0,15.07,3e-06,5e-10
-5.418,0,0,15,3e-06,5e-10
-5.544,0,0,14.9,3e-06,5e-10
-5.67,0,0,14.74,3e-06,5e-10
-5.796,0,0,14.67,3e-06,5e-10
-5.922,0,0,14.73,3e-06,5e-10
-6.048,0,0,14.77,3e-06,5e-10
-6.174,0,0,14.77,3e-06,5e-10
-6.3,0,0,14.77,3e-06,5e-10
