"depth (m) ","u (m/s)   ","v (m/s)   ","T (°C)   ","S (g/kg)  ","k (J/kg)  ","eps (W/kg)","num (m2/s)","nuh (m2/s)"
0.000000000000000E+00,8.453294284028738E-02,-5.289196092622350E-02,2.549969838189972E+00,2.999999999999787E-06,3.274554697521556E-05,2.938984706032820E-07,6.592134546680937E-04,4.342438430574932E-04
-1.260000000000003E-01,8.453294284028738E-02,-5.289196092622350E-02,2.549969838189972E+00,2.999999999999787E-06,3.274554697521556E-05,2.522758207305444E-07,5.715849272126612E-04,5.200158063653197E-04
-2.519999999999998E-01,8.194973432955041E-02,-5.279990848626353E-02,2.550486304685986E+00,2.999999999999787E-06,3.274554697521556E-05,2.106531708578072E-07,4.839563997572293E-04,6.057877696731455E-04
-3.780000000000001E-01,7.936652581881341E-02,-5.270785604630356E-02,2.551002771182001E+00,2.999999999999786E-06,3.173192614296231E-05,1.746326712090624E-07,5.648034906809851E-04,7.072412805712574E-04
-5.039999999999996E-01,7.754283977896513E-02,-5.258416412691086E-02,2.551311598756049E+00,2.999999999999786E-06,3.071830531070906E-05,1.386121715603180E-07,6.456505816047403E-04,8.086947914693684E-04
-6.299999999999999E-01,7.571915373911685E-02,-5.246047220751816E-02,2.551620426330098E+00,2.999999999999786E-06,2.966708367682323E-05,1.206455371450958E-07,7.008909927853557E-04,8.780336219732525E-04
-7.560000000000002E-01,7.427286834796450E-02,-5.231625085219903E-02,2.551822912640341E+00,2.999999999999786E-06,2.861586204293740E-05,1.026789027298736E-07,7.561314039659710E-04,9.473724524771365E-04
-8.819999999999997E-01,7.282658295681214E-02,-5.217202949687991E-02,2.552025398950585E+00,2.999999999999786E-06,2.752020367152595E-05,9.182531902110290E-08,7.873815017606953E-04,9.866356638237480E-04
-1.008000000000000E+00,7.157900956108171E-02,-5.200644751068635E-02,2.552163138773386E+00,2.999999999999786E-06,2.642454530011450E-05,8.097173531233208E-08,8.186315995554199E-04,1.025898875170360E-03
-1.133999999999999E+00,7.033143616535129E-02,-5.184086552449280E-02,2.552300878596187E+00,2.999999999999786E-06,2.539625327873190E-05,7.402712224381872E-08,8.306585521837815E-04,1.041076219652616E-03
-1.260000000000000E+00,6.920066618822901E-02,-5.165149544551378E-02,2.552391401858526E+00,2.999999999999786E-06,2.436796125734928E-05,6.708250917530531E-08,8.426855048121433E-04,1.056253564134873E-03
-1.386000000000000E+00,6.806989621110672E-02,-5.146212536653477E-02,2.552481925120865E+00,2.999999999999786E-06,2.339805558198654E-05,6.225117014175527E-08,8.400093396363127E-04,1.053003168227577E-03
-1.512000000000000E+00,6.698915679764908E-02,-5.124165548497030E-02,2.552534937996696E+00,2.999999999999786E-06,2.242814990662380E-05,5.741983110820525E-08,8.373331744604823E-04,1.049752772320282E-03
-1.638000000000000E+00,6.590841738419144E-02,-5.102118560340583E-02,2.552587950872526E+00,2.999999999999786E-06,2.161703824753163E-05,5.403882029507513E-08,8.289547324869886E-04,1.039355222325826E-03
