!datetime	Ten_Meter_Uwind_vector_meterPerSecond	Ten_Meter_Vwind_vector_meterPerSecond	Surface_Level_Barometric_Pressure_pascal	Air_Temperature_celsius	Relative_Humidity_percent	Cloud_Cover_decimalFraction	Shortwave_Radiation_Downwelling_wattPerMeterSquared	Precipitation_meterPerSecond
2022-01-01 00:00:00	1.62	0	101242.03	-38.59	99.7	1	0	2.7777778e-09
2022-01-01 01:00:00	1.45	0	101242.03	-38.9	99.72	1	0	2.7777778e-09
2022-01-01 02:00:00	1.28	0	101242.03	-39.21	99.75	1	0	2.7777778e-09
2022-01-01 03:00:00	1.1	0	101242.03	-39.51	99.78	1	0	2.7777778e-09
2022-01-01 04:00:00	1.12	0	101242.03	-39.09	99.78	1	0	2.7777778e-09
2022-01-01 05:00:00	1.14	0	101242.03	-38.66	99.77	1	0	2.7777778e-09
2022-01-01 06:00:00	1.16	0	101242.03	-38.24	99.77	1	0	2.7777778e-09
2022-01-01 07:00:00	1.14	0	101242.03	-38.27	99.86	1	0	2.7777778e-09
2022-01-01 08:00:00	1.12	0	101242.03	-38.3	99.95	1	0	2.7777778e-09
2022-01-01 09:00:00	1.09	0	101242.03	-38.33	100	1	0	2.7777778e-09
2022-01-01 10:00:00	1.24	0	101242.03	-38.27	99.96	1	0	2.7777778e-09
2022-01-01 11:00:00	1.38	0	101242.03	-38.21	99.89	1	0	2.7777778e-09
2022-01-01 12:00:00	1.52	0	101242.03	-38.15	99.83	1	0	2.7777778e-09
2022-01-01 13:00:00	1.57	0	101242.03	-37.87	99.82	1	0	2.7777778e-09
2022-01-01 14:00:00	1.61	0	101242.03	-37.6	99.82	1	0	2.7777778e-09
2022-01-01 15:00:00	1.66	0	101242.03	-37.32	99.81	1	0	2.7777778e-09
2022-01-01 16:00:00	1.65	0	101242.03	-36.97	99.76	1	0	2.7777778e-09
2022-01-01 17:00:00	1.65	0	101242.03	-36.61	99.72	1	0	2.7777778e-09
2022-01-01 18:00:00	1.64	0	101242.03	-36.25	99.67	1	0	2.7777778e-09
2022-01-01 19:00:00	1.59	0	101242.03	-36.12	99.66	1	0	2.7777778e-09
2022-01-01 20:00:00	1.55	0	101242.03	-35.98	99.64	1	0	2.7777778e-09
2022-01-01 21:00:00	1.5	0	101242.03	-35.85	99.62	1	0	2.7777778e-09
2022-01-01 22:00:00	1.67	0	101242.03	-36.13	99.45	1	0	2.7777778e-09
2022-01-01 23:00:00	1.84	0	101242.03	-36.41	99.28	1	0	2.7777778e-09
2022-01-02 00:00:00	2.02	0	101242.03	-36.69	99.11	1	0	2.7777778e-09
2022-01-02 01:00:00	1.73	0	101242.03	-37.05	99.3	1	0	2.7777778e-09
2022-01-02 02:00:00	1.44	0	101242.03	-37.4	99.49	1	0	2.7777778e-09
2022-01-02 03:00:00	1.15	0	101242.03	-37.76	99.69	1	0	2.7777778e-09
2022-01-02 04:00:00	0.87	0	101242.03	-37.67	99.74	1	0	2.7777778e-09
2022-01-02 05:00:00	0.59	0	101242.03	-37.59	99.79	1	0	2.7777778e-09
2022-01-02 06:00:00	0.3	0	101242.03	-37.5	99.84	1	0	2.7777778e-09
2022-01-02 07:00:00	0.35	0	101242.03	-37.63	99.55	1	0	2.7777778e-09
2022-01-02 08:00:00	0.39	0	101242.03	-37.76	99.27	1	0	2.7777778e-09
2022-01-02 09:00:00	0.43	0	101242.03	-37.9	98.98	1	0	2.7777778e-09
2022-01-02 10:00:00	0.65	0	101242.03	-37.22	98.89	1	0	2.7777778e-09
2022-01-02 11:00:00	0.87	0	101242.03	-36.54	98.81	1	0	2.7777778e-09
2022-01-02 12:00:00	1.08	0	101242.03	-35.86	98.72	1	0	2.7777778e-09
2022-01-02 13:00:00	0.81	0	101242.03	-35.87	98.35	1	0	2.7777778e-09
2022-01-02 14:00:00	0.54	0	101242.03	-35.88	97.99	1	0	2.7777778e-09
2022-01-02 15:00:00	0.27	0	101242.03	-35.89	97.62	1	0	2.7777778e-09
2022-01-02 16:00:00	0.27	0	101242.03	-35.27	98.12	1	0	2.7777778e-09
2022-01-02 17:00:00	0.28	0	101242.03	-34.65	98.62	1	0	2.7777778e-09
2022-01-02 18:00:00	0.28	0	101242.03	-34.03	99.12	1	0	2.7777778e-09
2022-01-02 19:00:00	0.15	0	101242.03	-34.04	98.99	1	0	2.7777778e-09
2022-01-02 20:00:00	0.01	0	101242.03	-34.06	98.87	1	0	2.7777778e-09
2022-01-02 21:00:00	0.13	0	101242.03	-34.08	98.75	1	0	2.7777778e-09
2022-01-02 22:00:00	0.07	0	101242.03	-33.19	98.55	1	0	2.7777778e-09
2022-01-02 23:00:00	0.27	0	101242.03	-32.3	98.35	1	0	2.7777778e-09
2022-01-03 00:00:00	0.48	0	101242.03	-31.41	98.14	1	0	2.7777778e-09
2022-01-03 01:00:00	0.09	0	101242.03	-31.81	98.78	1	0	2.7777778e-09
2022-01-03 02:00:00	0.3	0	101242.03	-32.21	99.41	1	0	2.7777778e-09
2022-01-03 03:00:00	0.69	0	101242.03	-32.61	100	1	0	2.7777778e-09
2022-01-03 04:00:00	0.49	0	101242.03	-31.87	99.76	1	0	2.7777778e-09
2022-01-03 05:00:00	0.29	0	101242.03	-31.12	99.47	1	0	2.7777778e-09
2022-01-03 06:00:00	0.09	0	101242.03	-30.37	99.17	1	0	2.7777778e-09
2022-01-03 07:00:00	0.05	0	101242.03	-30.65	99.26	1	0	2.7777778e-09
2022-01-03 08:00:00	0	0	101242.03	-30.93	99.35	1	0	2.7777778e-09
2022-01-03 09:00:00	0.04	0	101242.03	-31.21	99.44	1	0	2.7777778e-09
2022-01-03 10:00:00	0.16	0	101242.03	-30.86	99.34	1	0	2.7777778e-09
2022-01-03 11:00:00	0.28	0	101242.03	-30.5	99.24	1	0	2.7777778e-09
2022-01-03 12:00:00	0.4	0	101242.03	-30.15	99.14	1	0	2.7777778e-09
2022-01-03 13:00:00	0.14	0	101242.03	-30.21	98.8	1	0	2.7777778e-09
2022-01-03 14:00:00	0.13	0	101242.03	-30.26	98.45	1	0	2.7777778e-09
2022-01-03 15:00:00	0.39	0	101242.03	-30.32	98.11	1	0	2.7777778e-09
2022-01-03 16:00:00	0.22	0	101242.03	-30.38	98.18	1	0	2.7777778e-09
2022-01-03 17:00:00	0.05	0	101242.03	-30.43	98.26	1	0	2.7777778e-09
2022-01-03 18:00:00	0.13	0	101242.03	-30.49	98.33	1	0	2.7777778e-09
2022-01-03 19:00:00	0.15	0	101242.03	-30.76	98.55	1	0	2.7777778e-09
2022-01-03 20:00:00	0.16	0	101242.03	-31.03	98.76	1	0	2.7777778e-09
2022-01-03 21:00:00	0.18	0	101242.03	-31.3	98.98	1	0	2.7777778e-09
2022-01-03 22:00:00	0.04	0	101242.03	-30.15	94.52	1	0	2.7777778e-09
2022-01-03 23:00:00	0.09	0	101242.03	-29	90.05	1	0	2.7777778e-09
2022-01-04 00:00:00	0.23	0	101242.03	-27.85	85.59	1	0	2.7777778e-09
2022-01-04 01:00:00	0.01	0	101242.03	-28.4	83.62	1	0	2.7777778e-09
2022-01-04 02:00:00	0.25	0	101242.03	-28.96	81.65	1	0	2.7777778e-09
2022-01-04 03:00:00	0.49	0	101242.03	-29.52	79.68	1	0	2.7777778e-09
2022-01-04 04:00:00	0.31	0	101242.03	-27.77	75.2	1	0	2.7777778e-09
2022-01-04 05:00:00	0.12	0	101242.03	-26.02	70.72	1	0	2.7777778e-09
2022-01-04 06:00:00	0.06	0	101242.03	-24.27	66.24	1	0	2.7777778e-09
2022-01-04 07:00:00	0.24	0	101242.03	-23.77	63.35	1	0	2.7777778e-09
2022-01-04 08:00:00	0.41	0	101242.03	-23.28	60.47	1	0	2.7777778e-09
2022-01-04 09:00:00	0.58	0	101242.03	-22.78	57.59	1	0	2.7777778e-09
2022-01-04 10:00:00	0.8	0	101242.03	-21.84	53.91	1	0	2.7777778e-09
2022-01-04 11:00:00	1.02	0	101242.03	-20.89	50.23	1	0	2.7777778e-09
2022-01-04 12:00:00	1.23	0	101242.03	-19.94	46.55	1	0	2.7777778e-09
2022-01-04 13:00:00	0.82	0	101242.03	-19.97	47.24	1	0	2.7777778e-09
2022-01-04 14:00:00	0.41	0	101242.03	-20	47.92	1	0	2.7777778e-09
2022-01-04 15:00:00	0	0	101242.03	-20.03	48.6	1	0	2.7777778e-09
2022-01-04 16:00:00	0.03	0	101242.03	-18.55	42.46	1	0	2.7777778e-09
2022-01-04 17:00:00	0.07	0	101242.03	-17.08	36.33	1	0	2.7777778e-09
2022-01-04 18:00:00	0.11	0	101242.03	-15.61	30.19	1	0	2.7777778e-09
2022-01-04 19:00:00	0.28	0	101242.03	-15.88	35.39	1	0	2.7777778e-09
2022-01-04 20:00:00	0.67	0	101242.03	-16.15	40.59	1	0	2.7777778e-09
2022-01-04 21:00:00	1.06	0	101242.03	-16.43	45.79	1	0	2.7777778e-09
2022-01-04 22:00:00	1.16	0	101242.03	-15.93	40.31	1	0	2.7777778e-09
2022-01-04 23:00:00	1.25	0	101242.03	-15.43	34.83	1	0	2.7777778e-09
2022-01-05 00:00:00	1.35	0	101242.03	-14.94	29.35	1	0	2.7777778e-09
2022-01-05 01:00:00	1.43	0	101242.03	-14.81	31.06	1	0	2.7777778e-09
2022-01-05 02:00:00	1.51	0	101242.03	-14.67	32.78	1	0	2.7777778e-09
2022-01-05 03:00:00	1.59	0	101242.03	-14.54	34.5	1	0	2.7777778e-09
2022-01-05 04:00:00	1.73	0	101242.03	-13.95	33.63	1	0	2.7777778e-09
2022-01-05 05:00:00	1.86	0	101242.03	-13.36	32.76	1	0	2.7777778e-09
2022-01-05 06:00:00	2	0	101242.03	-12.78	31.89	1	0	2.7777778e-09
2022-01-05 07:00:00	1.76	0	101242.03	-12.46	34.43	1	0	2.7777778e-09
2022-01-05 08:00:00	1.53	0	101242.03	-12.14	36.97	1	0	2.7777778e-09
2022-01-05 09:00:00	1.29	0	101242.03	-11.82	39.52	1	0	2.7777778e-09
2022-01-05 10:00:00	1.37	0	101242.03	-11.3	41.62	1	0	2.7777778e-09
2022-01-05 11:00:00	1.46	0	101242.03	-10.79	43.72	1	0	2.7777778e-09
2022-01-05 12:00:00	1.54	0	101242.03	-10.27	45.82	1	0	2.7777778e-09
2022-01-05 13:00:00	1.48	0	101242.03	-10.36	52.32	1	0	2.7777778e-09
2022-01-05 14:00:00	1.41	0	101242.03	-10.45	58.83	1	0	2.7777778e-09
2022-01-05 15:00:00	1.35	0	101242.03	-10.54	65.33	1	0	2.7777778e-09
2022-01-05 16:00:00	1.2	0	101242.03	-10.35	70.41	1	0	2.7777778e-09
