"Depth [m]","U [m/s]","V [m/s]","T [deg C]","k [J/kg]","eps [W/kg]"
0,0,0,8.531,3e-06,5e-10
-0.121,0,0,8.296,3e-06,5e-10
-0.2419,0,0,8.062,3e-06,5e-10
-0.3629,0,0,8.245,3e-06,5e-10
-0.4838,0,0,8.458,3e-06,5e-10
-0.6048,0,0,8.277,3e-06,5e-10
-0.7257,0,0,8.036,3e-06,5e-10
-0.8467,0,0,8.147,3e-06,5e-10
-0.9676,0,0,8.347,3e-06,5e-10
-1.089,0,0,8.386,3e-06,5e-10
-1.21,0,0,8.366,3e-06,5e-10
-1.33,0,0,8.34,3e-06,5e-10
-1.451,0,0,8.311,3e-06,5e-10
-1.572,0,0,8.383,3e-06,5e-10
-1.693,0,0,8.524,3e-06,5e-10
-1.814,0,0,8.584,3e-06,5e-10
-1.935,0,0,8.574,3e-06,5e-10
-2.056,0,0,8.557,3e-06,5e-10
-2.177,0,0,8.533,3e-06,5e-10
-2.298,0,0,8.489,3e-06,5e-10
-2.419,0,0,8.414,3e-06,5e-10
-2.54,0,0,8.388,3e-06,5e-10
-2.661,0,0,8.459,3e-06,5e-10
-2.782,0,0,8.492,3e-06,5e-10
-2.903,0,0,8.419,3e-06,5e-10
-3.024,0,0,8.409,3e-06,5e-10
-3.145,0,0,8.655,3e-06,5e-10
-3.266,0,0,8.888,3e-06,5e-10
-3.387,0,0,9.042,3e-06,5e-10
-3.508,0,0,9.179,3e-06,5e-10
-3.629,0,0,9.059,3e-06,5e-10
-3.75,0,0,8.938,3e-06,5e-10
-3.87,0,0,8.987,3e-06,5e-10
-3.991,0,0,9.036,3e-06,5e-10
-4.112,0,0,8.998,3e-06,5e-10
-4.233,0,0,8.953,3e-06,5e-10
-4.354,0,0,8.891,3e-06,5e-10
-4.475,0,0,8.826,3e-06,5e-10
-4.596,0,0,8.776,3e-06,5e-10
-4.717,0,0,8.729,3e-06,5e-10
-4.838,0,0,8.645,3e-06,5e-10
-4.959,0,0,8.548,3e-06,5e-10
-5.08,0,0,8.542,3e-06,5e-10
-5.201,0,0,8.584,3e-06,5e-10
-5.322,0,0,8.558,3e-06,5e-10
-5.443,0,0,8.486,3e-06,5e-10
-5.564,0,0,8.442,3e-06,5e-10
-5.685,0,0,8.423,3e-06,5e-10
-5.806,0,0,8.298,3e-06,5e-10
-5.927,0,0,8.051,3e-06,5e-10
-6.048,0,0,7.9,3e-06,5e-10
-6.169,0,0,7.9,3e-06,5e-10
-6.29,0,0,7.954,3e-06,5e-10
-6.41,0,0,8.12,3e-06,5e-10
-6.531,0,0,8.236,3e-06,5e-10
-6.652,0,0,8.209,3e-06,5e-10
-6.773,0,0,8.208,3e-06,5e-10
-6.894,0,0,8.312,3e-06,5e-10
-7.015,0,0,8.425,3e-06,5e-10
-7.136,0,0,8.605,3e-06,5e-10
-7.257,0,0,8.782,3e-06,5e-10
-7.378,0,0,8.92,3e-06,5e-10
-7.499,0,0,9.058,3e-06,5e-10
-7.62,0,0,9.09,3e-06,5e-10
-7.741,0,0,9.121,3e-06,5e-10
-7.862,0,0,8.914,3e-06,5e-10
-7.983,0,0,8.689,3e-06,5e-10
-8.104,0,0,8.619,3e-06,5e-10
-8.225,0,0,8.575,3e-06,5e-10
-8.346,0,0,8.454,3e-06,5e-10
-8.467,0,0,8.314,3e-06,5e-10
-8.588,0,0,8.3,3e-06,5e-10
-8.709,0,0,8.335,3e-06,5e-10
-8.83,0,0,8.32,3e-06,5e-10
-8.95,0,0,8.278,3e-06,5e-10
-9.071,0,0,8.212,3e-06,5e-10
-9.192,0,0,8.13,3e-06,5e-10
-9.313,0,0,8.112,3e-06,5e-10
-9.434,0,0,8.154,3e-06,5e-10
-9.555,0,0,8.068,3e-06,5e-10
-9.676,0,0,7.83,3e-06,5e-10
-9.797,0,0,7.706,3e-06,5e-10
-9.918,0,0,7.761,3e-06,5e-10
-10.04,0,0,7.841,3e-06,5e-10
-10.16,0,0,7.973,3e-06,5e-10
-10.28,0,0,8.103,3e-06,5e-10
-10.4,0,0,8.226,3e-06,5e-10
-10.52,0,0,8.336,3e-06,5e-10
-10.64,0,0,8.394,3e-06,5e-10
-10.76,0,0,8.472,3e-06,5e-10
-10.89,0,0,8.693,3e-06,5e-10
-11.01,0,0,8.904,3e-06,5e-10
-11.13,0,0,8.949,3e-06,5e-10
-11.25,0,0,8.995,3e-06,5e-10
-11.37,0,0,8.858,3e-06,5e-10
-11.49,0,0,8.719,3e-06,5e-10
-11.61,0,0,9.042,3e-06,5e-10
-11.73,0,0,9.403,3e-06,5e-10
-11.85,0,0,9.095,3e-06,5e-10
-11.97,0,0,8.673,3e-06,5e-10
-12.1,0,0,8.57,3e-06,5e-10
-12.22,0,0,8.553,3e-06,5e-10
-12.34,0,0,8.537,3e-06,5e-10
-12.46,0,0,8.52,3e-06,5e-10
-12.58,0,0,8.636,3e-06,5e-10
-12.7,0,0,8.822,3e-06,5e-10
-12.82,0,0,9.009,3e-06,5e-10
-12.94,0,0,9.195,3e-06,5e-10
-13.06,0,0,9.202,3e-06,5e-10
-13.18,0,0,9.044,3e-06,5e-10
-13.3,0,0,8.885,3e-06,5e-10
-13.43,0,0,8.727,3e-06,5e-10
-13.55,0,0,8.596,3e-06,5e-10
-13.67,0,0,8.508,3e-06,5e-10
-13.79,0,0,8.419,3e-06,5e-10
-13.91,0,0,8.331,3e-06,5e-10
-14.03,0,0,8.251,3e-06,5e-10
-14.15,0,0,8.194,3e-06,5e-10
-14.27,0,0,8.137,3e-06,5e-10
-14.39,0,0,8.08,3e-06,5e-10
-14.51,0,0,8.026,3e-06,5e-10
-14.64,0,0,8,3e-06,5e-10
-14.76,0,0,7.973,3e-06,5e-10
-14.88,0,0,7.946,3e-06,5e-10
-15,0,0,7.92,3e-06,5e-10
