datetime,Air_Temperature_celsius,Shortwave_Radiation_Downwelling_wattPerMeterSquared,Longwave_Radiation_Downwelling_wattPerMeterSquared,Relative_Humidity_percent,Ten_Meter_Elevation_Wind_Speed_meterPerSecond,Precipitation_millimeterPerHour,Snowfall_millimeterPerHour
2022-01-01 00:00,-38.59,0,130,99.7,1.62,0.01,0
2022-01-01 01:00,-38.9,0,130,99.72,1.45,0.01,0
2022-01-01 02:00,-39.21,0,130,99.75,1.28,0.01,0
2022-01-01 03:00,-39.51,0,136,99.78,1.1,0.01,0
2022-01-01 04:00,-39.09,0,136,99.78,1.12,0.01,0
2022-01-01 05:00,-38.66,0,136,99.77,1.14,0.01,0
2022-01-01 06:00,-38.24,0,142,99.77,1.16,0.01,0
2022-01-01 07:00,-38.27,0,142,99.86,1.14,0.01,0
2022-01-01 08:00,-38.3,0,142,99.95,1.12,0.01,0
2022-01-01 09:00,-38.33,0,144,100,1.09,0.01,0
2022-01-01 10:00,-38.27,0,144,99.96,1.24,0.01,0
2022-01-01 11:00,-38.21,0,144,99.89,1.38,0.01,0
2022-01-01 12:00,-38.15,0,147,99.83,1.52,0.01,0
2022-01-01 13:00,-37.87,0,147,99.82,1.57,0.01,0
2022-01-01 14:00,-37.6,0,147,99.82,1.61,0.01,0
2022-01-01 15:00,-37.32,0,161,99.81,1.66,0.01,0
2022-01-01 16:00,-36.97,0,161,99.76,1.65,0.01,0
2022-01-01 17:00,-36.61,0,161,99.72,1.65,0.01,0
2022-01-01 18:00,-36.25,0,156.9,99.67,1.64,0.01,0
2022-01-01 19:00,-36.12,0,156.9,99.66,1.59,0.01,0
2022-01-01 20:00,-35.98,0,156.9,99.64,1.55,0.01,0
2022-01-01 21:00,-35.85,0,157.1,99.62,1.5,0.01,0
2022-01-01 22:00,-36.13,0,157.1,99.45,1.67,0.01,0
2022-01-01 23:00,-36.41,0,157.1,99.28,1.84,0.01,0
2022-01-02 00:00,-36.69,0,134,99.11,2.02,0.01,0
2022-01-02 01:00,-37.05,0,134,99.3,1.73,0.01,0
2022-01-02 02:00,-37.4,0,134,99.49,1.44,0.01,0
2022-01-02 03:00,-37.76,0,130,99.69,1.15,0.01,0
2022-01-02 04:00,-37.67,0,130,99.74,0.87,0.01,0
2022-01-02 05:00,-37.59,0,130,99.79,0.59,0.01,0
2022-01-02 06:00,-37.5,0,119,99.84,0.3,0.01,0
2022-01-02 07:00,-37.63,0,119,99.55,0.35,0.01,0
2022-01-02 08:00,-37.76,0,119,99.27,0.39,0.01,0
2022-01-02 09:00,-37.9,0,125,98.98,0.43,0.01,0
2022-01-02 10:00,-37.22,0,125,98.89,0.65,0.01,0
2022-01-02 11:00,-36.54,0,125,98.81,0.87,0.01,0
2022-01-02 12:00,-35.86,0,118,98.72,1.08,0.01,0
