datetime	Ten_Meter_Uwind_vector_meterPerSecond	Ten_Meter_Vwind_vector_meterPerSecond	Air_Temperature_celsius	Shortwave_Radiation_Downwelling_wattPerMeterSquared	Vapour_Pressure_milliBar	Longwave_Radiation_Downwelling_wattPerMeterSquared	Precipitation_meterPerHour
0	1.4	0	8.56	0	10.820808	343.59	0
0.0416666666666667	0.51	0	8.28	0	10.643351	343.59	0
0.0833333333333333	0.39	0	7.99	0	10.462231	343.59	0
0.125	1.28	0	7.71	0	10.290669	349.59	0
0.166666666666667	1.83	0	7.18	0	9.8166522	349.59	0
0.208333333333333	2.38	0	6.64	0	9.3554258	349.59	0
0.25	2.92	0	6.11	0	8.9194756	336	0
0.291666666666667	2.65	0	5.47	0	8.4141264	336	0
0.333333333333333	2.38	0	4.82	0	7.9293002	336	0
0.375	2.1	0	4.18	0	7.4735233	330	0
0.416666666666667	2.77	0	3.83	0	7.2434428	330	0
0.458333333333333	3.43	0	3.48	0	7.0188473	330	0
0.5	4.1	0	3.13	10	6.8011757	322	0
0.541666666666667	3.37	0	2.41	10	6.6071076	322	0
0.583333333333333	2.64	0	1.69	10	6.4128007	322	0
0.625	1.9	0	0.96	30	6.2155822	316	0
0.666666666666667	2.64	0	0.86	30	6.1272825	316	0
0.708333333333333	3.38	0	0.76	30	6.0398951	316	0
0.75	4.12	0	0.65	10	5.9484646	312	0
0.791666666666667	3.36	0	0.49	10	6.0002238	312	0
0.833333333333333	2.59	0	0.33	10	6.0499063	312	0
0.875	1.82	0	0.17	-10	6.0975484	318	0
0.916666666666667	1.74	0	-0.31	-10	5.8259741	318	0
0.958333333333333	1.65	0	-0.79	-10	5.5656494	318	0
1	1.57	0	-1.27	0	5.3150355	314	0
1.04166666666667	1.01	0	-1	0	5.4357326	314	0
1.08333333333333	0.46	0	-0.74	0	5.5553905	314	0
1.125	0.1	0	-0.47	0	5.6809627	324	0
1.16666666666667	0.42	0	0.27	0	6.0092811	324	0
1.20833333333333	0.74	0	1.01	0	6.3550707	324	0
1.25	1.06	0	1.76	0	6.7233111	277	0
1.29166666666667	1.77	0	3	0	7.3209036	277	0
1.33333333333333	2.48	0	4.24	0	7.9642878	277	0
1.375	3.19	0	5.48	0	8.6554713	279	0
1.41666666666667	3.15	0	6.15	0	9.0982473	279	0
1.45833333333333	3.11	0	6.81	0	9.5535607	279	0
1.5	3.06	0	7.48	80	10.03595	319.93	0
1.54166666666667	3.37	0	8.26	80	10.179971	319.93	0
1.58333333333333	3.68	0	9.03	80	10.299355	319.93	0
1.625	3.98	0	9.81	280	10.405931	313.59	0
1.66666666666667	3.74	0	9.98	280	10.282362	313.59	0
1.70833333333333	3.5	0	10.15	280	10.154432	313.59	0
1.75	3.26	0	10.32	280	10.020812	287	0
1.79166666666667	2.22	0	10.08	280	10.052618	287	0
1.83333333333333	1.18	0	9.84	280	10.080553	287	0
1.875	0.14	0	9.61	20	10.110319	275.49	0
1.91666666666667	0.09	0	8.23	20	9.6000403	275.49	0
1.95833333333333	0.32	0	6.85	20	9.0908618	275.49	0
2	0.55	0	5.46	0	8.5803715	293.11	0
2.04166666666667	0.9	0	5.54	0	8.5430554	293.11	0
2.08333333333333	1.26	0	5.62	0	8.505025	293.11	0
2.125	1.61	0	5.69	0	8.4594848	340.89	0
2.16666666666667	1.47	0	5.7	0	8.6568366	340.89	0
2.20833333333333	1.32	0	5.72	0	8.8596869	340.89	0
2.25	1.18	0	5.73	0	9.056796	340	0
2.29166666666667	1.64	0	5.63	0	9.0078224	340	0
2.33333333333333	2.11	0	5.53	0	8.9581363	340	0
2.375	2.57	0	5.43	0	8.9095547	338	0
2.41666666666667	2.44	0	5.21	0	8.719232	338	0
2.45833333333333	2.31	0	4.99	0	8.5323993	338	0
2.5	2.18	0	4.77	10	8.3490019	331	0
2.54166666666667	1.39	0	4.81	10	8.3758314	331	0
2.58333333333333	0.6	0	4.85	10	8.4027378	331	0
2.625	0.19	0	4.9	50	8.435613	333.54	0
2.66666666666667	0.69	0	5.6	50	8.5860211	333.54	0
2.70833333333333	1.2	0	6.31	50	8.7349357	333.54	0
2.75	1.71	0	7.02	190	8.8745132	310	0
2.79166666666667	2.75	0	6.7	190	8.3986821	310	0
2.83333333333333	3.79	0	6.39	190	7.9453391	310	0
2.875	4.84	0	6.07	10	7.500869	314	0
2.91666666666667	3.91	0	5.34	10	7.4019559	314	0
2.95833333333333	2.99	0	4.61	10	7.2922805	314	0
3	2.06	0	3.88	0	7.1730145	277	0
3.04166666666667	2.25	0	3.12	0	6.7642468	277	0
3.08333333333333	2.45	0	2.37	0	6.381719	277	0
3.125	2.64	0	1.61	0	6.013658	235	0
3.16666666666667	2.29	0	1.54	0	6.0934588	235	0
3.20833333333333	1.95	0	1.47	0	6.1716102	235	0
3.25	1.6	0	1.39	0	6.244988	277	0
3.29166666666667	1.67	0	1.46	0	6.2921213	277	0
3.33333333333333	1.74	0	1.53	0	6.340235	277	0
3.375	1.81	0	1.59	0	6.3833838	254	0
3.41666666666667	1.72	0	1.7	0	6.3987502	254	0
3.45833333333333	1.62	0	1.81	0	6.4139126	254	0
3.5	1.53	0	1.91	30	6.4242647	311	0
3.54166666666667	1.37	0	2.3	30	6.5100181	311	0
3.58333333333333	1.2	0	2.68	30	6.5901953	311	0
3.625	1.03	0	3.06	90	6.6700581	319	0
3.66666666666667	1.61	0	3.44	90	6.4539621	319	0
3.70833333333333	2.2	0	3.83	90	6.2249718	319	0
3.75	2.78	0	4.21	170	5.9734372	296.13	0
3.79166666666667	2.96	0	4.03	170	5.9382575	296.13	0
3.83333333333333	3.15	0	3.86	170	5.9070675	296.13	0
3.875	3.34	0	3.69	10	5.8764756	271.87	0
3.91666666666667	2.49	0	2.29	10	5.5670766	271.87	0
3.95833333333333	1.64	0	0.9	10	5.2619369	271.87	0
4	0.8	0	-0.49	0	4.9587193	227.59	0
4.04166666666667	0.96	0	-0.84	0	4.947092	227.59	0
4.08333333333333	1.12	0	-1.19	0	4.9325068	227.59	0
4.125	1.28	0	-1.53	0	4.9192751	274.35	0
4.16666666666667	1.43	0	-0.71	0	5.1464256	274.35	0
4.20833333333333	1.57	0	0.11	0	5.3805783	274.35	0
4.25	1.72	0	0.93	0	5.6217253	310	0
4.29166666666667	1.58	0	1.02	0	5.7767826	310	0
4.33333333333333	1.44	0	1.11	0	5.9335931	310	0
4.375	1.3	0	1.19	0	6.0877835	284	0
4.41666666666667	1.37	0	1.18	0	6.0248339	284	0
4.45833333333333	1.44	0	1.17	0	5.9619714	284	0
4.5	1.51	0	1.15	90	5.8942817	271.33	0
4.54166666666667	1.86	0	2.09	90	6.0905327	271.33	0
4.58333333333333	2.21	0	3.02	90	6.2769241	271.33	0
4.625	2.56	0	3.96	370	6.4615254	264.67	0
4.66666666666667	3.23	0	4.65	370	6.2057751	264.67	0
4.70833333333333	3.91	0	5.34	370	5.9061961	264.67	0
4.75	4.58	0	6.03	240	5.5604206	274	0
4.79166666666667	4.87	0	5.59	240	5.5988136	274	0
