datetime,Air_Temperature_celsius,Shortwave_Radiation_Downwelling_wattPerMeterSquared,Longwave_Radiation_Downwelling_wattPerMeterSquared,Relative_Humidity_percent,Ten_Meter_Elevation_Wind_Speed_meterPerSecond,Precipitation_millimeterPerHour,Snowfall_millimeterPerHour
2021-01-01 00:00,8.56,0,343.59,97.07,1.4,0,0
2021-01-01 01:00,8.28,0,343.59,97.31,0.51,0,0
2021-01-01 02:00,7.99,0,343.59,97.56,0.39,0,0
2021-01-01 03:00,7.71,0,349.59,97.81,1.28,0,0
2021-01-01 04:00,7.18,0,349.59,96.75,1.83,0,0
2021-01-01 05:00,6.64,0,349.59,95.69,2.38,0,0
2021-01-01 06:00,6.11,0,336,94.63,2.92,0,0
2021-01-01 07:00,5.47,0,336,93.32,2.65,0,0
2021-01-01 08:00,4.82,0,336,92.02,2.38,0,0
2021-01-01 09:00,4.18,0,330,90.71,2.1,0,0
2021-01-01 10:00,3.83,0,330,90.11,2.77,0,0
2021-01-01 11:00,3.48,0,330,89.5,3.43,0,0
2021-01-01 12:00,3.13,10,322,88.9,4.1,0,0
2021-01-01 13:00,2.41,10,322,90.9,3.37,0,0
2021-01-01 14:00,1.69,10,322,92.89,2.64,0,0
2021-01-01 15:00,0.96,30,316,94.89,1.9,0,0
2021-01-01 16:00,0.86,30,316,94.22,2.64,0,0
2021-01-01 17:00,0.76,30,316,93.55,3.38,0,0
2021-01-01 18:00,0.65,10,312,92.87,4.12,0,0
2021-01-01 19:00,0.49,10,312,94.77,3.36,0,0
2021-01-01 20:00,0.33,10,312,96.67,2.59,0,0
2021-01-01 21:00,0.17,-10,318,98.57,1.82,0,0
2021-01-01 22:00,-0.31,-10,318,97.53,1.74,0,0
2021-01-01 23:00,-0.79,-10,318,96.5,1.65,0,0
2021-01-02 00:00,-1.27,0,314,95.46,1.57,0,0
2021-01-02 01:00,-1,0,314,95.71,1.01,0,0
2021-01-02 02:00,-0.74,0,314,95.97,0.46,0,0
2021-01-02 03:00,-0.47,0,324,96.22,0.1,0,0
2021-01-02 04:00,0.27,0,324,96.44,0.42,0,0
2021-01-02 05:00,1.01,0,324,96.67,0.74,0,0
2021-01-02 06:00,1.76,0,277,96.9,1.06,0,0
2021-01-02 07:00,3,0,277,96.58,1.77,0,0
2021-01-02 08:00,4.24,0,277,96.26,2.48,0,0
2021-01-02 09:00,5.48,0,279,95.93,3.19,0,0
2021-01-02 10:00,6.15,0,279,96.26,3.15,0,0
2021-01-02 11:00,6.81,0,279,96.58,3.11,0,0
2021-01-02 12:00,7.48,80,319.93,96.9,3.06,0,0
2021-01-02 13:00,8.26,80,319.93,93.2,3.37,0,0
2021-01-02 14:00,9.03,80,319.93,89.5,3.68,0,0
2021-01-02 15:00,9.81,280,313.59,85.8,3.98,0,0
2021-01-02 16:00,9.98,280,313.59,83.82,3.74,0,0
2021-01-02 17:00,10.15,280,313.59,81.84,3.5,0,0
2021-01-02 18:00,10.32,280,287,79.85,3.26,0,0
2021-01-02 19:00,10.08,280,287,81.4,2.22,0,0
2021-01-02 20:00,9.84,280,287,82.95,1.18,0,0
2021-01-02 21:00,9.61,20,275.49,84.49,0.14,0,0
2021-01-02 22:00,8.23,20,275.49,88.07,0.09,0,0
2021-01-02 23:00,6.85,20,275.49,91.65,0.32,0,0
2021-01-03 00:00,5.46,0,293.11,95.23,0.55,0,0
2021-01-03 01:00,5.54,0,293.11,94.29,0.9,0,0
2021-01-03 02:00,5.62,0,293.11,93.35,1.26,0,0
2021-01-03 03:00,5.69,0,340.89,92.4,1.61,0,0
2021-01-03 04:00,5.7,0,340.89,94.49,1.47,0,0
2021-01-03 05:00,5.72,0,340.89,96.57,1.32,0,0
2021-01-03 06:00,5.73,0,340,98.65,1.18,0,0
2021-01-03 07:00,5.63,0,340,98.8,1.64,0,0
2021-01-03 08:00,5.53,0,340,98.94,2.11,0,0
2021-01-03 09:00,5.43,0,338,99.09,2.57,0,0
2021-01-03 10:00,5.21,0,338,98.47,2.44,0,0
2021-01-03 11:00,4.99,0,338,97.85,2.31,0,0
2021-01-03 12:00,4.77,10,331,97.23,2.18,0,0
2021-01-03 13:00,4.81,10,331,97.27,1.39,0,0
2021-01-03 14:00,4.85,10,331,97.31,0.6,0,0
2021-01-03 15:00,4.9,50,333.54,97.35,0.19,0,0
2021-01-03 16:00,5.6,50,333.54,94.37,0.69,0,0
2021-01-03 17:00,6.31,50,333.54,91.4,1.2,0,0
2021-01-03 18:00,7.02,190,310,88.43,1.71,0,0
2021-01-03 19:00,6.7,190,310,85.55,2.75,0,0
2021-01-03 20:00,6.39,190,310,82.68,3.79,0,0
2021-01-03 21:00,6.07,10,314,79.8,4.84,0,0
2021-01-03 22:00,5.34,10,314,82.84,3.91,0,0
2021-01-03 23:00,4.61,10,314,85.88,2.99,0,0
2021-01-04 00:00,3.88,0,277,88.92,2.06,0,0
2021-01-04 01:00,3.12,0,277,88.48,2.25,0,0
2021-01-04 02:00,2.37,0,277,88.05,2.45,0,0
2021-01-04 03:00,1.61,0,235,87.61,2.64,0,0
2021-01-04 04:00,1.54,0,235,89.22,2.29,0,0
2021-01-04 05:00,1.47,0,235,90.82,1.95,0,0
2021-01-04 06:00,1.39,0,277,92.43,1.6,0,0
2021-01-04 07:00,1.46,0,277,92.66,1.67,0,0
2021-01-04 08:00,1.53,0,277,92.9,1.74,0,0
2021-01-04 09:00,1.59,0,254,93.13,1.81,0,0
2021-01-04 10:00,1.7,0,254,92.62,1.72,0,0
2021-01-04 11:00,1.81,0,254,92.11,1.62,0,0
2021-01-04 12:00,1.91,30,311,91.6,1.53,0,0
2021-01-04 13:00,2.3,30,311,90.27,1.37,0,0
2021-01-04 14:00,2.68,30,311,88.94,1.2,0,0
2021-01-04 15:00,3.06,90,319,87.62,1.03,0,0
2021-01-04 16:00,3.44,90,319,82.53,1.61,0,0
2021-01-04 17:00,3.83,90,319,77.44,2.2,0,0
2021-01-04 18:00,4.21,170,296.13,72.35,2.78,0,0
2021-01-04 19:00,4.03,170,296.13,72.84,2.96,0,0
2021-01-04 20:00,3.86,170,296.13,73.33,3.15,0,0
2021-01-04 21:00,3.69,10,271.87,73.83,3.34,0,0
2021-01-04 22:00,2.29,10,271.87,77.25,2.49,0,0
2021-01-04 23:00,0.9,10,271.87,80.68,1.64,0,0
2021-01-05 00:00,-0.49,0,227.59,84.11,0.8,0,0
2021-01-05 01:00,-0.84,0,227.59,86.09,0.96,0,0
2021-01-05 02:00,-1.19,0,227.59,88.07,1.12,0,0
2021-01-05 03:00,-1.53,0,274.35,90.06,1.28,0,0
2021-01-05 04:00,-0.71,0,274.35,88.71,1.43,0,0
2021-01-05 05:00,0.11,0,274.35,87.36,1.57,0,0
2021-01-05 06:00,0.93,0,310,86.01,1.72,0,0
